code_country,NumberOfLanesInPrincipalRoad,FrontCurvature,T1_ego_speed,T1_climate_day_period,T1_climate_outside_temperature,T1_climate_dazzled,T1_climate_fog,T1_climate_precipitation,T1_V1 (CIPV)_pos_x,T1_V1 (CIPV)_pos_y,T1_V1 (CIPV)_absolute_velocity_x,T1_V1 (CIPV)_absolute_acceleration_x,T2_V1 (CIPV)_absolute_velocity_x,latent_1,latent_2,representative_id
250,2.0,-0.0015136,59.0484,2.0,16.5,0,0,0,109.6843,-10.8171,16.6457,-1.0084,14.5077,-2.6263306,-2.9720497,0
250,3.0,-0.0019202,92.2414,2.0,10.5,0,0,0,117.5239,-6.7607,16.9477,-1.1052,15.8525,-1.1105734,-1.6588852,1
250,3.0,-0.00066581,131.1771,2.0,15.5,0,0,0,128.9213,-4.9971,11.7862,-1.1117,3.7621,-0.6367775,-1.7513845,2
250,3.0,-0.00044723,127.6747,2.0,14.0,0,0,0,142.919,-4.5644,13.7234,-1.4798,0.84235,-0.37911713,-2.044087,3
250,3.0,0.0058039,2.635,2.0,39.0,0,0,0,4.6797,1.187,3.6915,-4.2991,0.51569,-0.11954246,-1.9446509,4
250,2.0,0.0021158,48.6584,2.0,12.5,0,0,0,16.4037,1.4799,1.4006,-3.4838,-2.7569,0.23368599,-1.712775,5
250,1.0,-0.00043742,132.6473,2.0,7.0,0,0,0,184.4793,-8.2704,26.9648,-1.1789,23.2073,0.52792835,-1.511247,6
250,1.0,-0.00030187,122.0409,2.0,33.0,0,0,0,125.3907,-1.7248,17.1625,-1.6682,2.5914,0.79961514,-1.5005921,7
250,2.0,-1.353e-07,91.3448,2.0,1.0,0,0,0,110.3406,0.73352,10.5611,-2.1733,5.4042,1.1449819,-1.6131959,8
250,3.0,0.00098169,79.8469,2.0,13.5,0,0,0,125.9516,8.273,20.2416,-1.0029,18.8972,2.0477257,-1.6281499,9
250,2.0,-0.0034658,30.5007,2.0,29.0,0,0,0,15.583,-0.7028,8.415,-0.98003,3.166,-1.6991066,-0.82945395,10
250,4.0,-0.0016425,57.6688,2.0,20.0,0,0,0,47.8844,-3.8786,8.4235,-0.52287,7.7257,-1.051529,-0.8789753,11
250,4.0,-0.0010997,57.217,2.0,30.0,0,0,0,60.5979,-3.5556,14.6882,-1.0096,9.5608,-0.63961214,-0.7955064,12
250,2.0,-0.00023175,22.6303,2.0,18.0,0,0,0,67.6475,-1.485,5.8342,-1.0128,4.3639,-0.33000997,-0.78974795,13
250,2.0,0.0013776,48.8518,2.0,34.0,0,0,0,48.8169,0.47249,1.7375,-1.0269,0.98885,-0.01699891,-0.7150926,14
250,2.0,0.00040886,63.7776,2.0,20.5,0,0,0,62.1171,0.51349,1.2507,-1.0311,0.42682,0.22616394,-0.7775098,15
250,2.0,-3.5286e-06,58.0108,4.0,16.5,0,0,0,41.5447,-1.177,15.6639,-2.2435,9.1876,0.48841542,-0.86148745,16
250,3.0,1.6142e-05,107.4289,2.0,5.0,0,0,2,114.6998,-0.66421,1.7795,-1.0018,0.84642,0.7794048,-0.91124177,17
250,3.0,3.6905e-05,68.115,2.0,19.0,0,0,0,125.2946,-0.24239,17.1429,-1.0703,12.6304,1.1469853,-0.9309571,18
250,3.0,9.9773e-06,106.6731,2.0,24.0,0,0,0,164.1542,-0.026852,25.4521,-1.0425,25.0809,2.135905,-0.8551569,19
250,2.0,-0.0024178,16.9647,2.0,31.5,0,0,0,8.0267,-0.037369,1.7612,-0.4424,1.0284,-1.8396939,-0.42246112,20
250,3.0,-0.001223,28.5563,2.0,27.0,0,0,0,11.8578,-0.38341,4.7226,-1.0041,0.3569,-0.93381226,-0.47780177,21
250,3.0,0.00036173,19.0008,2.0,39.0,0,0,0,8.7627,-0.064582,2.4617,-1.032,0.90595,-0.6253377,-0.3756872,22
250,4.0,-0.0019515,37.7643,2.0,25.0,0,0,0,24.9853,-0.86539,9.6108,-0.86211,7.6053,-0.31380662,-0.3846583,23
250,1.0,-0.0025337,26.4658,2.0,21.0,0,0,0,38.9691,0.75783,11.0795,-1.0035,8.0018,-0.066241585,-0.37384883,24
250,3.0,0.0010795,42.5961,2.0,28.0,0,0,0,43.2646,0.13663,9.3382,-1.0172,8.0128,0.18937883,-0.41851476,25
250,4.0,0.001026,56.8401,2.0,17.5,0,0,0,57.316,0.55081,11.8488,-1.0674,7.2314,0.4640621,-0.4217213,26
250,2.0,0.00034014,77.2177,2.0,11.5,0,0,0,61.9061,0.65429,19.5015,-0.75423,6.0536,0.77055514,-0.44462577,27
250,4.0,-0.00025692,67.47,2.0,18.0,0,0,0,97.7355,0.27431,18.8134,-1.0017,18.3007,1.1610113,-0.45085105,28
56,4.0,0.00021053,99.507,2.0,6.0,0,0,0,124.6067,0.85952,27.6624,-1.158,26.2637,1.9977374,-0.46712252,29
250,4.0,-0.0017414,8.1682,2.0,24.5,0,0,0,8.44,-0.45427,0.70964,-0.22429,0.13498,-1.7283002,-0.14706546,30
250,3.0,-0.0014124,13.9921,2.0,26.5,0,0,0,7.8532,0.10006,3.0846,-1.0125,2.5825,-1.0167208,-0.0998475,31
250,4.0,-2.1642e-06,6.2008,2.0,28.0,0,0,0,10.9617,0.24478,1.3261,-0.3949,0.22268,-0.5713965,-0.18276873,32
250,4.0,-0.0012745,28.0262,2.0,23.5,0,0,0,4.218,-0.55828,7.1174,-1.0372,5.4751,-0.313042,-0.19147766,33
250,3.0,-3.0122e-05,30.3249,2.0,25.5,0,0,0,21.4277,-0.22262,7.8716,-0.22023,7.1107,-0.05903762,-0.17934701,34
250,2.0,-1.0471e-05,47.2592,2.0,19.0,0,0,0,1.0064,-0.17301,12.9149,-1.2161,10.471,0.19515921,-0.13187557,35
250,3.0,-0.00093653,69.4587,2.0,28.0,0,0,0,13.9657,-0.61184,16.1721,-0.77548,15.9554,0.45744774,-0.08699823,36
250,2.0,-0.00038397,68.7741,2.0,16.0,0,0,0,46.4919,-1.1666,18.0413,-1.0229,14.6019,0.7156153,-0.0797917,37
250,2.0,-0.0001564,65.9989,4.0,12.0,0,0,2,106.5224,-1.566,19.7876,-0.20492,18.3138,1.1746001,-0.119648136,38
250,2.0,-0.00040776,110.2888,2.0,11.5,0,0,2,123.3625,-3.0967,26.3634,-1.0705,24.601,1.7990239,-0.14007512,39
250,2.0,-0.003861,35.9659,2.0,18.0,0,0,0,12.5269,0.14319,8.1061,-1.0175,1.4399,-1.8804271,0.13702837,40
250,2.0,-0.00022562,5.7078,2.0,19.5,0,0,0,11.939,-0.39078,1.7608,-0.48314,0.27753,-0.98341,0.14299816,41
826,3.0,0.00010109,9.436,2.0,22.5,0,0,0,8.784,-0.26271,2.4788,-0.23902,2.138,-0.59232175,0.15379116,42
250,4.0,0.0020207,6.7344,2.0,17.0,0,0,0,14.4829,0.72276,3.6189,-0.34951,2.8051,-0.32094494,0.15063387,43
250,4.0,-0.00053529,41.0638,2.0,13.5,0,0,0,18.1486,0.14275,7.6503,-1.0334,5.359,-0.07059667,0.18478519,44
250,2.0,-0.00010472,30.0529,2.0,17.0,0,0,0,16.4782,0.084715,13.3463,-0.28935,12.2383,0.18161057,0.17275548,45
528,2.0,0.0010195,58.9434,2.0,12.0,0,0,2,29.092,0.40621,15.2275,-1.0011,14.7287,0.47611135,0.10452073,46
250,4.0,-1.7475e-05,56.903,2.0,19.0,0,0,0,38.7677,1.166,20.6168,-0.41158,17.952,0.7862557,0.09246286,47
250,3.0,-0.0005311,89.8277,2.0,19.0,0,0,0,50.323,-1.7102,23.8377,-1.0435,22.481,1.140869,0.20994028,48
250,3.0,-0.00031675,96.9462,2.0,24.0,0,0,0,94.807,-1.9102,30.5157,-1.0161,30.1278,1.7336396,0.163641,49
250,3.0,-0.0019186,2.1507,2.0,22.0,0,0,0,12.3394,-0.017167,1.3574,-1.008,-0.14628,-1.8509388,0.41686568,50
250,3.0,-3.4837e-05,1.4832,2.0,20.5,0,0,0,11.1709,-0.32512,2.3082,-0.28149,0.82255,-0.9694745,0.46027696,51
250,3.0,-0.00032413,17.0099,2.0,18.0,0,0,1,12.8834,-0.27102,4.2714,-0.46023,2.6989,-0.6036932,0.45857608,52
250,3.0,0.0005424,21.2741,2.0,16.0,0,0,0,13.9361,-0.39721,5.9999,-0.2095,3.5042,-0.32163072,0.44818944,53
250,4.0,7.7464e-05,31.2975,2.0,10.5,0,0,2,16.7085,-0.36166,8.0823,-0.20922,7.5411,-0.06627845,0.41548815,54
250,2.0,-0.00013492,50.75,4.0,12.0,0,0,0,41.7052,-1.1734,13.6557,-1.0141,9.1204,0.18148376,0.41374177,55
250,4.0,0.0025552,63.1037,2.0,9.5,0,0,1,11.4011,0.40578,17.174,-0.2093,16.7929,0.44701147,0.4709279,56
250,4.0,-0.00073804,69.7106,2.0,11.0,0,0,0,47.0422,-2.1522,19.3607,-0.21086,18.7014,0.78647006,0.44311884,57
250,2.0,0.00058578,98.4752,2.0,19.0,0,1,3,3.28,-0.67054,27.0214,-1.0114,25.2881,1.2275997,0.411514,58
250,4.0,1.824e-07,127.9546,2.0,30.5,0,0,0,8.4821,-0.98168,34.8613,-1.0077,32.0126,1.6667981,0.41990516,59
250,4.0,-0.0028181,15.7355,2.0,14.5,0,0,0,7.1937,-0.37368,2.1029,-0.23332,1.9765,-1.9665587,0.7330991,60
250,2.0,-0.000423,4.9672,2.0,13.5,0,0,2,12.6652,-0.043756,2.3581,-0.72488,0.36653,-0.9224103,0.76439106,61
250,4.0,-0.00019982,6.1202,3.0,14.5,0,0,0,6.6755,0.0039942,1.8197,-0.20885,1.4638,-0.6007795,0.757507,62
250,2.0,7.7407e-05,18.3625,2.0,10.0,0,0,0,16.0352,0.36873,5.4522,-0.21058,5.2475,-0.3379017,0.7342459,63
250,4.0,-2.9829e-05,31.1456,2.0,6.5,0,0,1,15.7244,-0.54197,8.2714,-0.37333,7.9746,-0.07316167,0.75116795,64
250,2.0,-2.2801e-05,40.1721,1.0,10.0,0,0,1,20.5803,-0.50028,12.7218,-0.21124,12.506,0.18586363,0.729905,65
250,2.0,0.00039855,58.6486,4.0,12.0,0,0,2,27.1449,0.1951,15.8848,-0.30537,15.6367,0.47308812,0.7194929,66
250,2.0,-2.2926e-05,70.6141,2.0,7.5,0,0,0,25.3266,0.62951,18.3586,-0.6707,17.8938,0.7881842,0.74743056,67
250,3.0,0.00027169,90.1754,3.0,16.5,0,0,0,21.488,-0.58721,25.6368,-0.21496,25.1591,1.1240975,0.73959875,68
528,2.0,0.00014932,119.1392,2.0,5.5,0,0,0,49.8075,0.76127,30.9364,-1.0581,25.2383,1.6842773,0.7109537,69
250,4.0,-0.0022837,7.5444,2.0,9.5,0,0,2,13.1792,-0.57175,3.4973,-0.35451,2.9347,-1.6763005,1.0132432,70
250,3.0,-0.00022759,10.46,2.0,12.0,0,0,2,12.585,-0.50691,2.2717,-0.21586,1.6402,-0.9041382,1.0705737,71
250,4.0,-0.00012047,0.015222,3.0,10.6443,0,0,0,10.0514,-0.10525,3.2756,-0.22211,0.89822,-0.6329922,1.0261227,72
250,2.0,0.0010542,23.2918,4.0,11.0,0,0,0,9.8254,-0.31527,3.9546,-0.53294,1.6346,-0.3370066,1.0828463,73
250,2.0,3.7432e-05,30.0922,4.0,11.0,0,0,0,23.4124,0.63229,6.9378,-0.23455,6.5274,-0.078603186,1.0591542,74
250,2.0,0.00026041,39.0417,4.0,6.0,0,0,1,48.9445,-0.35551,11.6425,-0.27375,9.7549,0.17728509,1.0786808,75
250,4.0,3.4833e-06,59.0043,4.0,9.7886,0,0,0,16.7145,0.77867,16.3682,-0.25225,16.1108,0.49645114,1.0794864,76
250,4.0,4.1264e-05,79.3464,4.0,8.5,0,0,0,27.7721,-0.098055,20.5,-0.58909,18.2109,0.76751935,1.0531943,77
250,2.0,-0.00035938,93.275,2.0,7.5,0,0,0,31.5251,-1.2369,25.2171,-0.20314,25.0943,1.1927514,1.0133436,78
250,3.0,0.00014022,127.46,2.0,14.0,0,0,2,6.1525,0.56059,33.8125,-1.0438,32.0684,1.6167846,1.0797633,79
250,3.0,-0.002658,10.7897,2.0,10.0,0,0,1,12.1249,0.063444,2.8034,-0.27169,2.18,-1.8589153,1.4131314,80
250,3.0,-1.6603e-05,3.5444,2.0,8.0,0,0,0,12.7298,-0.0018568,1.9913,-0.20063,1.4602,-0.92749435,1.4022025,81
250,4.0,-0.0017084,29.09,2.0,3.0,0,0,0,22.1005,-0.023244,7.5148,-0.23305,4.2917,-0.5558069,1.4779183,82
250,4.0,-0.00064658,20.7269,4.0,7.5,0,0,0,16.6921,-0.35529,5.3271,-0.45765,1.2353,-0.35076788,1.4748479,83
250,3.0,-0.00010542,24.6166,4.0,9.0,0,0,0,29.7769,-0.081395,7.6149,-0.25258,7.3326,-0.08591512,1.477392,84
250,2.0,0.00014606,35.7359,4.0,4.5,0,0,0,39.4579,-0.33783,11.4406,-0.31823,8.7867,0.18321298,1.4462047,85
250,2.0,-3.6025e-05,53.228,4.0,3.4811,0,0,0,35.9557,-0.62878,15.4233,-0.52474,13.8113,0.47311082,1.4351339,86
250,2.0,-5.7919e-05,71.7715,4.0,1.5,0,0,4,62.8235,-0.093517,18.3539,-0.68164,16.2409,0.7816885,1.4419014,87
250,3.0,-0.0019534,86.4205,4.0,5.5,0,0,0,67.2387,-3.7396,26.4692,-0.21923,25.5338,1.1501706,1.4634277,88
250,2.0,-0.00023488,109.1754,2.0,5.7545,0,0,0,11.5079,0.55102,33.8112,-1.0084,32.9209,1.6437129,1.4350321,89
250,3.0,-0.0046964,17.6087,4.0,9.0,0,0,1,11.7624,0.30247,3.4699,-1.2176,1.2707,-2.098375,2.0503502,90
250,3.0,-0.00037201,8.28,2.0,1.5,0,1,0,11.7398,-0.07645,3.1777,-0.21517,1.5714,-0.93969834,2.090425,91
250,3.0,-7.1974e-05,8.6559,4.0,7.0,0,0,0,7.385,0.063431,1.7629,-0.20556,0.81614,-0.5936749,2.0332248,92
250,2.0,0.00066905,8.513,4.0,3.5,0,0,0,10.5678,0.25645,2.7373,-0.20327,2.5205,-0.34965008,1.967467,93
250,3.0,-4.2858e-05,29.97,4.0,5.0,0,0,0,14.9118,0.1706,7.491,-0.23416,7.2733,-0.0887943,1.9430816,94
250,2.0,-0.0016726,45.7797,4.0,4.5,0,0,0,7.9846,-0.31055,12.3254,-0.21982,11.3407,0.19184734,1.9254134,95
250,2.0,-0.00057445,62.9892,4.0,-2.0,0,0,0,36.8182,0.63333,13.7717,-0.68173,13.3682,0.48381266,1.9160955,96
250,2.0,0.0010061,71.0984,4.0,-2.0,0,0,4,35.7232,1.3487,17.8564,-0.23084,17.1274,0.7693409,1.9624872,97
250,2.0,0.00049635,89.0276,4.0,-3.5,0,0,0,42.1475,0.34456,24.1738,-0.20313,23.7711,1.1889634,1.9138558,98
756,2.0,-0.00023248,116.3585,2.0,-6.0,0,0,0,33.4161,-0.02401,33.1639,-0.22962,30.5478,1.6590524,2.0442486,99
