code_country,NumberOfLanesInPrincipalRoad,FrontCurvature,T1_ego_speed,T1_climate_day_period,T1_climate_outside_temperature,T1_climate_dazzled,T1_climate_fog,T1_climate_precipitation,T1_V1 (CIPV)_pos_x,T1_V1 (CIPV)_pos_y,T1_V1 (CIPV)_absolute_velocity_x,T1_V1 (CIPV)_absolute_acceleration_x,T2_V1 (CIPV)_absolute_velocity_x,latent_1,latent_2,representative_id
250,2.0,4.015e-06,33.2337,1.0,13.0,0,0,0,16.9915,0.063817,7.1685,-1.0049,6.5624,0.6908682,-0.9178346,0
250,3.0,-0.00059258,40.3971,1.0,10.5,0,0,0,27.4,-0.93045,9.5148,-0.2131,6.4632,0.7152464,-0.919879,1
250,3.0,0.00044892,32.8494,1.0,16.5,0,0,0,14.1366,-0.12177,6.5995,-0.20445,5.255,0.7029702,-0.8965743,2
250,3.0,-0.00027159,22.69,1.0,11.0,0,0,0,10.4065,0.61857,8.6005,-0.21243,7.5395,0.68196803,-0.90196365,3
250,4.0,0.0010703,4.8333,4.0,3.5,0,0,0,11.2438,0.054757,2.5617,-0.20133,1.6998,0.67143863,-0.9281829,4
250,3.0,0.00042507,33.5207,3.0,7.0,0,0,0,11.115,0.044482,7.7306,-0.29323,7.1618,0.72383386,-0.94308203,5
250,3.0,0.00072583,35.67,2.0,-1.0,0,0,0,9.5715,-0.26222,7.5528,-0.44704,7.1391,0.73211485,-0.9319609,6
250,3.0,-5.4166e-05,34.6786,1.0,10.079,0,0,0,28.0274,-0.99516,9.3348,-0.91001,8.6909,0.6707954,-0.9512338,7
250,3.0,-1.536e-05,28.0478,1.0,16.0,0,0,2,26.2862,0.56424,5.7539,-1.0024,3.9343,0.7229058,-0.8813756,8
250,3.0,-3.8865e-05,28.2712,1.0,14.0,0,0,0,26.9239,-0.2383,10.1945,-0.23248,4.6419,0.7019834,-0.8733899,9
250,2.0,3.8286e-06,34.9999,1.0,12.0,0,0,0,18.145,-0.25247,8.3342,-1.0085,7.0481,0.69356817,-0.87216383,10
250,4.0,0.0010589,6.935,4.0,3.5,0,0,0,10.4836,0.22817,1.3461,-0.22102,0.31961,0.6513739,-0.91847163,11
250,3.0,-2.0974e-05,26.7539,2.0,6.5,0,0,2,19.0857,0.42578,6.4956,-1.0078,5.0786,0.74422497,-0.93779,12
250,3.0,1.6281e-05,27.8524,2.0,1.1984,0,1,0,10.0005,-0.02769,8.6844,-1.0335,7.3274,0.7450822,-0.93571573,13
250,3.0,0.0001534,33.2852,1.0,16.5,0,0,0,15.5556,-0.0010193,6.7521,-0.23096,6.621,0.74553126,-0.93859845,14
250,2.0,0.00082194,20.7404,2.0,8.0,0,0,2,13.6043,-0.14931,4.9119,-0.20929,4.7576,0.68231326,-0.96747524,15
250,4.0,0.00069276,14.1179,4.0,1.3357,0,0,0,12.9309,-0.51291,4.8279,-1.0051,3.7251,0.7071008,-0.96945006,16
250,3.0,-0.00023472,20.809,3.0,11.5,0,0,2,26.7693,0.42229,7.3412,-0.53981,7.1121,0.7192798,-0.9658819,17
250,4.0,-0.0022869,25.7054,4.0,5.5,0,0,0,10.2587,-0.15027,7.672,-1.008,4.3097,0.73498815,-0.95554584,18
250,3.0,0.0010165,16.0601,3.0,11.5,0,0,1,13.895,0.7999,5.6566,-0.20134,5.3992,0.71405834,-0.8673387,19
250,3.0,-0.00040325,35.5777,1.0,11.0,0,0,0,17.3698,-0.054992,8.7418,-0.43261,6.7592,0.7191252,-0.8688157,20
250,2.0,0.0015142,9.6238,2.0,11.0,0,0,1,6.4939,0.54981,2.7458,-0.20909,2.4589,0.64575166,-0.9108872,21
