latent_dim,method,sample_size,n_selected,strategy,beta,success
2,cluster_based,100,100,exponential,10,True
2,cluster_based,400,400,exponential,10,True
2,cluster_based,900,900,exponential,10,True
2,cluster_based,1225,1225,exponential,10,True
2,cluster_based,1600,1600,exponential,10,True
2,equiprobable,100,100,exponential,10,True
2,equiprobable,400,379,exponential,10,True
2,equiprobable,900,828,exponential,10,True
2,equiprobable,1225,1118,exponential,10,True
2,equiprobable,1600,1440,exponential,10,True
2,latin_hypercube,100,100,exponential,10,True
2,latin_hypercube,400,400,exponential,10,True
2,latin_hypercube,900,900,exponential,10,True
2,latin_hypercube,1225,1225,exponential,10,True
2,latin_hypercube,1600,1600,exponential,10,True
2,adaptive_latin_hypercube,100,100,exponential,10,True
2,adaptive_latin_hypercube,400,400,exponential,10,True
2,adaptive_latin_hypercube,900,900,exponential,10,True
2,adaptive_latin_hypercube,1225,1225,exponential,10,True
2,adaptive_latin_hypercube,1600,1600,exponential,10,True
