code_country,NumberOfLanesInPrincipalRoad,FrontCurvature,T1_ego_speed,T1_climate_day_period,T1_climate_outside_temperature,T1_climate_dazzled,T1_climate_fog,T1_climate_precipitation,T1_V1 (CIPV)_pos_x,T1_V1 (CIPV)_pos_y,T1_V1 (CIPV)_absolute_velocity_x,T1_V1 (CIPV)_absolute_acceleration_x,T2_V1 (CIPV)_absolute_velocity_x,latent_1,latent_2,representative_id
250,2.0,0.00063523,130.9044,2.0,14.5,0,0,0,135.25,6.3016,31.8022,-1.0571,30.9132,-6.3354897,-5.930176,0
250,3.0,0.00022527,132.2639,2.0,8.0,0,0,0,193.1262,4.8281,24.3135,-1.0804,15.3507,-6.582291,-4.751283,1
250,2.0,0.00070587,95.5942,2.0,29.0,0,0,0,114.8287,9.5443,23.1252,-1.2222,22.0403,-6.96486,-4.144736,2
250,1.0,0.0080829,56.9287,2.0,13.5,0,0,0,44.9662,12.7594,15.0912,-1.3006,14.4303,-10.161783,-3.5529792,3
250,2.0,0.0034309,61.688,2.0,25.2029,0,0,0,83.7771,12.978,13.9871,-1.0158,12.9579,-8.282832,-3.262323,4
250,2.0,0.0025821,61.996,2.0,28.5,0,0,0,98.5267,13.071,14.7684,-1.0885,11.4658,-8.315829,-3.155469,5
250,3.0,0.0031169,84.1184,2.0,14.5,0,0,0,86.4473,13.0151,12.7059,-1.0082,1.8256,-7.730949,-2.8083456,6
250,2.0,0.0028815,49.5889,2.0,27.5,0,0,0,106.5269,17.2142,10.4251,-1.0162,0.33321,-9.963598,-2.6398141,7
250,2.0,0.027142,33.1434,2.0,17.5,0,0,0,9.883,-0.36933,7.1688,-1.0576,5.5784,-10.361816,-2.407509,8
250,2.0,0.019705,36.3391,2.0,18.5,0,0,0,22.6194,5.7931,9.9281,-1.3556,7.9188,-10.739524,-2.2164664,9
250,2.0,0.001774,71.7571,2.0,23.0,0,0,0,116.7441,11.15,7.8245,-1.0063,7.081,-7.294127,-2.168115,10
250,2.0,0.017432,23.7229,2.0,19.0,0,0,0,22.2691,10.4745,6.751,-1.3142,5.6747,-11.642808,-1.9165211,11
250,2.0,0.018211,51.4662,2.0,8.0,0,0,2,41.4852,3.9774,5.1742,-1.3235,3.8775,-9.395183,-1.8766222,12
276,2.0,0.0067794,54.1342,2.0,9.5,0,0,1,64.05,13.77,7.1241,-2.2063,2.7795,-11.591843,-1.6713028,13
826,2.0,0.0012718,90.5346,2.0,18.0,0,0,1,81.95,8.71,9.0319,-1.4178,0.4898,-6.6622562,-1.5618805,14
250,2.0,0.0074089,69.2199,2.0,19.5,0,0,0,49.795,9.948,13.0169,-1.5342,-2.7986,-8.227414,-1.3843049,15
250,2.0,0.018966,16.4543,2.0,21.5,0,0,0,17.8175,0.049074,5.6081,-1.0054,3.4174,-6.8815665,-1.1954159,16
250,2.0,0.0021615,28.2402,2.0,19.5,0,0,0,116.2717,11.7962,1.2983,-1.1189,-0.060786,-7.000154,-1.184181,17
250,2.0,0.011662,47.57,2.0,14.5,0,0,0,23.976,5.6905,6.1669,-1.074,1.3741,-6.7216578,-1.0039685,18
250,2.0,7.0534e-05,107.3001,2.0,13.0,0,0,0,199.9626,-0.79595,26.6201,-4.2914,24.1015,-7.264208,-0.87728983,19
250,2.0,0.0092582,53.2667,2.0,29.0,0,0,0,30.515,5.5611,8.8738,-1.2373,-0.75521,-6.167869,-0.7222757,20
250,2.0,0.010554,16.6689,2.0,26.0,0,0,0,29.6596,9.0028,1.9175,-1.883,1.2004,-8.621172,-0.6586744,21
250,2.0,0.01319,38.1507,2.0,17.5,0,0,0,23.0161,5.4023,1.4922,-1.4011,0.086568,-7.8571496,-0.46070296,22
250,2.0,0.010822,13.8381,2.0,20.0,0,0,0,7.9794,6.4533,1.4925,-1.3197,0.48884,-6.4303393,-0.42017323,23
250,2.0,0.00020061,56.8122,2.0,26.5,0,0,0,160.86,7.12,2.3011,-1.9441,0.19426,-6.0582933,-0.2679255,24
250,1.0,0.00051903,87.0574,2.0,5.5,0,0,2,170.0026,3.9884,8.2877,-1.2726,-2.5877,-5.810345,-0.0970227,25
250,4.0,0.030154,12.3649,2.0,20.0,0,0,0,12.9812,1.4975,5.5505,-1.0005,4.6708,-6.1286116,0.078905895,26
826,1.0,0.00035454,83.1135,2.0,21.5,0,0,0,126.8386,6.0734,0.34554,-1.0043,-1.7038,-6.1717277,0.20568569,27
380,2.0,6.2161e-05,136.6546,2.0,7.2154,0,0,0,146.4334,0.50082,17.0776,-1.2779,3.0382,-5.4979253,0.40958828,28
250,2.0,0.00013092,127.1882,2.0,8.5,0,0,2,197.4409,2.3095,0.85755,-1.1327,0.47536,-5.998753,0.4919594,29
250,2.0,0.00039659,103.315,2.0,25.5,0,0,0,158.65,3.51,7.9239,-2.1432,0.19792,-6.165327,0.6253144,30
250,1.0,0.006426,8.6502,2.0,18.5,0,0,0,51.1951,1.9735,14.8892,-3.0356,9.2911,-6.076742,0.8932369,31
250,2.0,9.1508e-05,138.38,2.0,8.0,0,0,0,184.5629,1.3853,1.8899,-1.0585,0.79193,-5.7529,1.0206809,32
724,2.0,0.0013955,118.91,2.0,17.5,0,0,0,135.5408,2.3243,5.7543,-1.2508,0.65191,-6.3507485,1.2083899,33
40,2.0,0.00033753,95.7308,2.0,17.0,0,0,2,98.5499,1.515,0.76785,-2.175,0.36135,-5.625667,1.4142624,34
724,2.0,3.126e-05,119.3,2.0,14.0,0,0,0,129.18,1.13,9.9514,-1.7634,0.46128,-6.2181563,1.7369993,35
250,2.0,0.0073046,28.9026,2.0,20.0,0,0,0,25.3069,1.534,14.7814,-3.136,3.2915,-5.962157,1.8152685,36
380,2.0,4.956e-05,134.5001,2.0,4.5,0,0,0,117.37,1.06,1.6132,-1.9221,0.1979,-6.441726,2.3323677,37
250,2.0,1.5392e-05,93.673,2.0,30.0,0,0,0,181.2787,0.9963,1.8141,-3.0678,-0.52571,-6.3934684,2.8635976,38
250,2.0,-0.00043235,99.7648,2.0,8.0,0,0,0,57.5297,-0.66428,3.055,-7.6664,0.60498,-11.986502,8.500091,39
250,2.0,0.00010662,108.0919,2.0,2.0,0,0,0,186.6362,0.34321,29.9573,-1.0209,28.9579,-4.955814,-5.6779294,40
250,2.0,-2.2983e-05,108.449,2.0,23.0,0,0,0,157.1944,0.75992,27.0909,-1.3923,25.8225,-4.9738374,-4.465777,41
250,3.0,0.0018458,90.6631,2.0,4.0,0,0,0,80.8064,6.9196,22.0687,-1.0079,20.1703,-4.9373345,-4.0152297,42
250,2.0,0.00036802,109.3245,2.0,22.0,0,0,0,135.5826,2.8334,20.7734,-1.0,20.0227,-4.781314,-3.5686655,43
826,3.0,0.0027869,35.6277,2.0,12.0,0,0,2,74.4298,8.2685,14.9251,-0.23436,14.6467,-4.9807425,-3.3342834,44
250,3.0,0.00017666,92.9258,1.0,10.0,0,0,0,199.9926,2.5362,12.0149,-1.2003,11.2146,-4.9221606,-3.0761197,45
250,2.0,0.0014279,59.9586,2.0,18.0,0,0,0,117.7136,6.4243,18.5511,-1.0222,15.0212,-4.9651966,-2.823348,46
250,2.0,-0.0035572,46.5548,2.0,21.0,0,0,0,32.8123,13.315,14.0928,-1.2067,13.6997,-5.174874,-2.625152,47
250,2.0,0.0023268,49.4499,2.0,23.0,0,0,0,79.7057,7.8917,14.0696,-1.0227,13.4125,-5.1666174,-2.3667147,48
250,2.0,0.0034082,56.83,2.0,21.5,0,0,0,64.7969,8.1577,13.7571,-1.0366,9.7794,-5.339331,-2.1265693,49
250,3.0,0.0024699,73.5586,2.0,10.5,0,0,0,61.6818,9.5232,7.5561,-1.0026,5.1495,-5.341219,-2.0105317,50
250,3.0,0.0014876,88.4118,2.0,31.5,0,0,0,88.2527,7.0707,8.2254,-1.0125,7.4466,-4.7986803,-1.8604589,51
250,3.0,0.00032303,55.1546,2.0,23.5,0,0,0,140.2609,8.1686,6.3665,-1.0186,3.1681,-5.1255345,-1.7070813,52
250,3.0,9.7547e-06,102.2905,2.0,12.0,0,0,0,166.1408,0.34636,15.8058,-2.2004,14.5796,-4.83796,-1.4886507,53
250,2.0,0.0025586,30.8307,2.0,23.5,0,0,0,42.8349,8.7953,8.8037,-1.4185,7.4392,-4.891493,-1.2574668,54
250,2.0,0.004603,32.8818,2.0,17.5,0,0,0,46.2753,6.6804,8.6848,-1.6401,7.7557,-4.804301,-1.1296995,55
250,2.0,0.0029769,59.8329,2.0,20.5,0,0,0,79.2606,8.6418,1.583,-0.20558,0.47571,-4.771001,-0.95525795,56
250,3.0,0.0008729,90.4613,2.0,5.0,0,0,0,122.26,5.37,7.0515,-1.6038,0.27366,-4.9113855,-0.8372255,57
250,2.0,8.6603e-05,61.1838,2.0,22.0,0,0,0,152.9233,6.306,4.0372,-1.1545,-0.037153,-5.042543,-0.710923,58
250,2.0,0.0029026,50.7443,2.0,20.5,0,0,0,76.4091,7.5025,1.5662,-1.0079,0.49651,-4.7236686,-0.6522147,59
250,2.0,0.016084,38.6818,2.0,24.5,0,0,0,22.9674,-0.73706,0.22553,-0.31607,-0.10953,-4.877086,-0.47693354,60
250,2.0,0.0073562,7.9336,2.0,26.0,0,0,0,22.5268,6.5858,-0.36295,-1.2401,-1.1959,-4.7864466,-0.34355056,61
250,2.0,0.012485,43.867,2.0,23.0,0,0,0,22.6599,-0.43588,0.91218,-1.0571,-0.89585,-4.7284875,-0.25620198,62
250,2.0,0.00082099,56.2589,2.0,26.0,0,0,0,113.85,6.05,4.0082,-1.6508,0.43209,-4.795085,-0.068328604,63
250,3.0,0.00010807,129.3235,2.0,14.0,0,0,0,162.2503,1.8256,0.55691,-1.0174,-0.16301,-5.027783,0.03901024,64
250,3.0,0.00037025,90.53,2.0,5.0,0,0,0,161.7,2.86,8.9357,-1.5201,0.23285,-5.1747704,0.17479415,65
250,3.0,1.0854e-05,132.4046,2.0,10.0,0,0,0,150.3835,0.63974,11.6786,-1.6099,5.9649,-4.993192,0.33359188,66
250,2.0,0.0023603,55.1949,2.0,9.0,0,0,1,53.15,3.7503,4.3106,-2.8177,3.8231,-4.9737024,0.5214027,67
250,2.0,0.00059766,96.9731,2.0,8.0,0,0,0,81.73,3.08,1.9687,-2.4046,0.29515,-4.992773,0.72853273,68
250,2.0,-2.4627e-05,129.2208,2.0,14.0,0,0,0,168.9511,0.68496,3.8167,-1.0208,2.9034,-4.7528706,0.82985586,69
40,2.0,0.0022805,84.6864,2.0,17.0,0,0,1,47.15,3.52,1.8746,-1.7927,1.0186,-5.0026507,0.9893703,70
826,2.0,0.00048364,91.5367,2.0,16.0,0,0,0,71.69,2.41,8.5928,-1.9156,0.090563,-4.885615,1.237553,71
250,2.0,5.7553e-05,131.0691,2.0,8.5,0,0,1,145.2939,0.22321,8.9502,-1.3905,0.99853,-4.828726,1.3834317,72
250,2.0,1.7244e-06,131.8455,2.0,-2.0,0,0,0,181.3684,-0.44139,1.6014,-1.0056,0.33536,-5.0048304,1.7130239,73
250,2.0,-3.2306e-05,128.1904,2.0,3.5,0,0,0,177.4103,-0.93849,5.5269,-1.2302,1.5176,-4.8317037,2.0367563,74
250,2.0,-3.3285e-05,116.623,2.0,7.0,0,0,0,192.0635,-0.83086,13.6229,-1.3663,-0.073261,-5.0913005,2.242445,75
40,2.0,2.2462e-05,101.6578,2.0,22.0,0,0,0,124.81,-1.29,1.7429,-2.3325,0.11636,-5.033298,2.6593583,76
380,2.0,-0.00029341,136.8697,2.0,5.0,0,0,0,199.0367,-4.7143,3.6964,-1.3687,2.4838,-4.834925,4.3523893,77
250,2.0,-0.00030873,128.3131,2.0,29.0,0,0,0,133.0745,-2.949,35.535,-1.033,34.8242,-4.422007,-5.4914427,78
250,3.0,1.1228e-05,107.4412,2.0,17.0,0,0,0,124.4641,0.72278,27.3574,-1.0072,26.6836,-4.3312793,-4.5048375,79
250,2.0,0.00024931,90.4981,2.0,27.0,0,0,0,124.685,1.272,27.3311,-1.0117,26.2991,-4.3853593,-3.9817939,80
250,2.0,1.8402e-05,128.1629,2.0,0.5,0,0,0,167.0323,0.22672,17.9755,-1.3593,11.8897,-4.403047,-3.5417237,81
250,3.0,-5.9772e-06,67.4073,2.0,24.0,0,0,0,183.609,1.0524,23.9193,-1.0229,14.0729,-4.4363613,-3.2212684,82
250,3.0,0.0014011,83.2606,2.0,18.5,0,0,0,122.1103,3.6157,19.2619,-1.0822,16.1116,-4.3462415,-3.0166907,83
250,2.0,-3.3131e-05,57.3103,2.0,28.0,0,0,0,195.7427,1.3527,16.6437,-1.9601,15.7149,-4.403857,-2.8046637,84
250,2.0,0.0014614,68.3055,2.0,25.0,0,0,0,84.0577,5.7456,18.4139,-1.0359,16.5129,-4.2968826,-2.6248229,85
250,2.0,0.0020761,73.7542,2.0,9.781,0,0,0,67.4895,5.2368,17.4859,-1.5656,15.5045,-4.270424,-2.440132,86
250,2.0,0.0008746,58.5595,2.0,19.5,0,0,0,119.224,5.7261,14.0208,-1.0415,13.7263,-4.4291296,-2.2206964,87
250,3.0,0.0021462,66.4759,2.0,7.5,0,0,1,80.7063,7.091,10.043,-1.3192,5.8528,-4.294901,-1.9867024,88
250,3.0,1.3721e-05,56.8594,2.0,19.0,0,0,0,153.179,4.974,12.1725,-1.2335,8.4932,-4.441941,-1.8749886,89
250,2.0,2.4409e-05,89.9252,2.0,15.0,0,0,2,178.38,0.79,0.92792,-1.9166,18.1459,-4.411433,-1.6122818,90
250,2.0,0.0012153,60.0436,2.0,29.0,0,0,0,88.6403,7.1875,11.3836,-1.0226,6.317,-4.45271,-1.5201672,91
250,2.0,0.0068476,42.1155,2.0,24.0,0,0,0,70.0953,3.6739,13.389,-1.5527,5.9733,-4.6200485,-1.345742,92
250,2.0,0.010933,45.0309,2.0,13.5,0,0,2,23.7166,4.5271,4.6201,-0.26404,4.12,-4.3553553,-1.3045971,93
250,2.0,0.00033832,74.9794,4.0,0.5,0,0,0,141.7288,5.3058,10.5586,-2.8178,0.36617,-4.444367,-1.1157833,94
756,2.0,0.00085071,78.898,2.0,5.0,0,0,0,110.4,5.02,2.1156,-1.2348,0.5571,-4.4695816,-0.9440698,95
250,2.0,9.068e-05,123.5209,2.0,16.0,0,0,0,178.063,0.5404,10.4203,-1.0785,7.4057,-4.6174,-0.835278,96
250,3.0,0.015235,2.2162,2.0,19.0,0,0,0,2.526,0.24816,2.408,-1.0066,1.6789,-4.3218756,-0.75640875,97
250,2.0,0.0017948,45.3793,2.0,23.0,0,0,0,80.94,7.7569,0.61411,-1.0204,0.09034,-4.474422,-0.5871573,98
250,2.0,0.01534,41.9653,2.0,19.0,0,0,0,16.5767,-0.29441,0.21682,-0.24762,-0.10709,-4.4161587,-0.48908323,99
250,2.0,0.0030085,14.4384,2.0,22.0,0,0,0,15.3104,9.8769,0.22169,-1.0142,-0.18809,-4.4362254,-0.379057,100
