latent_dim,method,sample_size,n_selected,strategy,beta,success
3,cluster_based,100,100,exponential,1.0,True
3,cluster_based,400,400,exponential,1.0,True
3,cluster_based,900,900,exponential,1.0,True
3,cluster_based,1225,1225,exponential,1.0,True
3,cluster_based,1600,1600,exponential,1.0,True
3,equiprobable,100,97,exponential,1.0,True
3,equiprobable,400,369,exponential,1.0,True
3,equiprobable,900,768,exponential,1.0,True
3,equiprobable,1225,168,exponential,1.0,True
3,equiprobable,1600,1275,exponential,1.0,True
3,latin_hypercube,100,100,exponential,1.0,True
3,latin_hypercube,400,400,exponential,1.0,True
3,latin_hypercube,900,900,exponential,1.0,True
3,latin_hypercube,1225,1225,exponential,1.0,True
3,latin_hypercube,1600,1600,exponential,1.0,True
3,adaptive_latin_hypercube,100,100,exponential,1.0,True
3,adaptive_latin_hypercube,400,400,exponential,1.0,True
3,adaptive_latin_hypercube,900,900,exponential,1.0,True
3,adaptive_latin_hypercube,1225,1225,exponential,1.0,True
3,adaptive_latin_hypercube,1600,1600,exponential,1.0,True
