code_country,NumberOfLanesInPrincipalRoad,FrontCurvature,T1_ego_speed,T1_climate_day_period,T1_climate_outside_temperature,T1_climate_dazzled,T1_climate_fog,T1_climate_precipitation,T1_V1 (CIPV)_pos_x,T1_V1 (CIPV)_pos_y,T1_V1 (CIPV)_absolute_velocity_x,T1_V1 (CIPV)_absolute_acceleration_x,T2_V1 (CIPV)_absolute_velocity_x,latent_1,latent_2,representative_id
250,2.0,0.0095135,35.0996,2.0,19.5,0,0,0,28.0232,33.1618,-1.258,-3.8335,-2.4502,16.639532,-19.943352,0
250,2.0,0.032438,30.8831,2.0,22.5,0,0,0,21.585,-0.45458,8.1174,-1.0122,-6.3253,8.301331,-19.691639,1
826,2.0,-0.027643,25.8018,2.0,15.0,0,0,2,19.9765,-12.1994,4.3083,-3.107,3.3588,-3.8318036,8.376477,2
250,3.0,-0.00012539,132.2046,2.0,15.0,0,0,0,197.7349,-2.8208,8.5955,-24.9673,4.6991,13.625151,-3.017681,3
250,2.0,0.024469,11.9614,2.0,19.5,0,0,0,8.5987,1.2424,7.7967,-3.021,5.445,6.6990337,-15.310759,4
250,2.0,0.00072059,130.3156,2.0,3.5,0,0,0,175.8163,10.645,21.2995,-16.3257,8.3848,13.217924,-5.15216,5
250,3.0,0.028345,18.0486,2.0,9.0,0,0,1,16.3153,1.8504,4.226,-6.7792,0.85109,9.065126,-18.003994,6
250,2.0,0.022569,31.0605,2.0,22.5,0,0,0,50.9104,35.1561,9.0551,-1.0598,2.9987,19.907326,-26.81545,7
250,2.0,-0.00045277,128.2619,1.0,4.0,0,0,2,199.6639,-10.8834,23.3639,-1.1724,23.1235,3.9257028,5.940844,8
250,2.0,7.0029e-06,108.5631,2.0,10.0,0,0,0,182.2028,-1.3049,62.7661,-23.5984,38.8975,12.848644,-0.8596761,9
250,4.0,0.0013688,73.949,2.0,19.0,0,0,0,139.0178,19.9936,18.0657,-1.0337,16.8608,8.712528,-8.118385,10
250,3.0,0.00029727,132.3477,2.0,15.0,0,0,0,183.4864,17.3773,35.808,-1.0738,35.0491,10.701955,-3.8911703,11
250,3.0,-0.00095214,32.8493,2.0,29.5,0,0,0,15.8006,0.30943,7.9119,-0.44346,7.6892,-0.651888,0.3797903,12
250,2.0,0.032,30.8543,2.0,22.0,0,0,0,24.0353,16.458,2.7468,-1.0435,1.3712,14.34592,-25.020563,13
250,2.0,0.0014811,68.3668,2.0,24.5,0,0,0,23.9043,-0.77902,6.3637,-11.74,-4.4631,5.955064,-3.5773885,14
250,4.0,0.0072943,64.2241,2.0,26.0,0,0,0,45.8181,11.7214,17.3467,-1.5571,0.59191,4.817666,-6.770698,15
250,2.0,-0.0072335,58.3181,2.0,13.5,0,0,0,98.8676,-24.6601,26.36,-1.0197,24.3842,-0.47478512,12.075499,16
250,2.0,0.012257,55.3353,2.0,11.5,0,0,0,42.1162,9.7112,10.9472,-1.0877,10.0403,7.275878,-10.159136,17
250,2.0,0.00020102,128.4879,2.0,8.0,0,0,0,64.9962,0.044992,107.4459,-1.544,87.2773,1.5509841,11.9367485,18
250,1.0,0.022158,2.6827,2.0,21.0,0,0,0,4.7677,-0.78407,3.2533,-1.2491,-0.10921,5.5808687,-13.313327,19
250,2.0,0.039107,15.188,2.0,18.5,0,0,0,3.5979,0.14604,0.80367,-1.096,-0.36199,10.136065,-23.652344,20
250,2.0,0.031117,16.2636,2.0,19.5,0,0,0,23.1487,-0.27751,8.2863,-1.045,-5.0043,8.005577,-19.102816,21
250,1.0,0.017386,26.5374,2.0,11.5,0,0,0,20.8297,-2.3668,6.724,-3.9422,1.1326,4.7799196,-10.18842,22
250,2.0,0.0012093,112.2399,2.0,7.4003,0,0,0,191.6786,20.2954,28.1497,-1.0325,27.0838,12.481562,-6.8326163,23
250,2.0,0.0021238,109.0431,2.0,10.5,0,0,0,135.4596,19.4126,31.9297,-1.0827,29.7874,10.905652,-6.2615027,24
250,2.0,0.0080947,58.7202,2.0,17.5,0,0,0,36.1145,6.1758,3.4507,-5.5012,0.52143,6.035769,-6.7269416,25
250,3.0,0.016732,13.91,2.0,20.0,0,0,0,24.9549,-15.0521,1.6132,-1.1586,0.46116,-0.36996725,-2.6221092,26
250,2.0,0.015971,22.6625,2.0,23.0,0,0,0,55.9804,31.3117,6.121,-1.0093,4.8098,16.838648,-21.708338,27
250,5.0,0.00072135,47.4713,4.0,11.5,0,0,0,199.9898,20.7494,1.3281,-1.9179,0.21745,12.629312,-9.581619,28
250,2.0,0.011981,29.4876,2.0,19.0,0,0,0,11.2615,-1.3064,6.8646,-4.1246,3.9203,3.4630492,-6.1706004,29
250,2.0,0.0319,23.7715,2.0,16.5,0,0,0,20.5973,1.6638,5.2291,-1.0435,-8.0862,8.934407,-20.565948,30
250,4.0,0.0018383,55.8358,2.0,8.5,0,0,1,89.4625,8.0886,16.121,-1.0209,15.7801,3.255414,-3.625799,31
276,3.0,2.0229e-05,128.0555,2.0,37.5,0,0,0,62.0047,-1.2203,38.7881,-0.20643,37.5751,-0.38850608,6.1941094,32
250,3.0,0.0013306,115.52,2.0,4.0,0,0,0,187.3143,22.7321,19.1693,-1.0596,16.5456,13.150986,-8.658997,33
250,2.0,0.012338,26.3476,2.0,39.5,0,0,0,34.4032,14.2325,2.988,-5.8517,1.1078,9.621856,-13.106899,34
250,2.0,3.4575e-05,108.32,2.0,15.0,0,0,1,158.1129,1.5664,102.8096,-24.4978,17.9024,12.862023,-1.1917303,35
250,3.0,0.00017971,111.9314,2.0,19.5,0,0,0,199.8213,3.7491,5.4401,-5.8442,0.56062,6.796725,-1.1235673,36
250,3.0,0.00025097,132.3319,2.0,8.0,0,0,0,135.6562,2.6878,58.8128,-1.8811,44.3946,4.1879487,5.0549235,37
250,2.0,9.5207e-05,127.36,2.0,20.0,0,0,0,199.9413,1.7924,33.8331,-4.1891,33.1981,5.512136,3.490229,38
