code_country,NumberOfLanesInPrincipalRoad,FrontCurvature,T1_ego_speed,T1_climate_day_period,T1_climate_outside_temperature,T1_climate_dazzled,T1_climate_fog,T1_climate_precipitation,T1_V1 (CIPV)_pos_x,T1_V1 (CIPV)_pos_y,T1_V1 (CIPV)_absolute_velocity_x,T1_V1 (CIPV)_absolute_acceleration_x,T2_V1 (CIPV)_absolute_velocity_x,latent_1,latent_2,representative_id
250,3.0,-7.3937e-05,33.2717,4.0,13.0,0,0,1,13.4114,-0.24233,8.0608,-0.81592,1.7772,1.2297505,-0.055487216,0
250,3.0,-6.8768e-05,29.3679,4.0,3.0,0,0,0,20.8436,0.20606,9.4206,-0.82578,6.4959,1.2128482,-0.07663292,1
250,3.0,0.00028099,29.0297,4.0,4.5,0,0,0,27.6635,-0.51526,9.3262,-0.82726,7.1887,1.2401471,-0.055286467,2
250,2.0,-0.00024121,28.3109,4.0,7.0,0,0,1,9.0283,0.61963,7.3126,-0.20264,3.4782,1.216106,-0.09471899,3
250,3.0,-0.00018708,14.3514,3.0,0.5,0,0,4,7.2903,-0.14434,3.9095,-1.0422,2.3765,1.2140906,-0.076268315,4
250,3.0,-0.00018604,15.9532,3.0,0.5,0,0,4,3.2439,-0.025863,3.4339,-1.1977,2.8517,1.239953,-0.057081282,5
250,2.0,-0.0023472,28.9682,4.0,1.5,0,0,0,16.4128,-0.60736,6.5973,-0.66987,4.6661,1.1883777,-0.039793313,6
250,3.0,-5.652e-05,12.9831,3.0,0.0,0,0,4,8.6677,-0.15888,1.343,-1.0231,0.8717,1.2378867,-0.034451783,7
250,2.0,0.0003789,41.73,4.0,3.0,0,0,0,34.9636,0.71959,6.367,-0.21771,4.287,1.2384454,-0.09440011,8
250,3.0,-0.00048681,23.1577,4.0,12.5,0,0,1,17.6436,0.13945,5.1359,-1.0129,4.2781,1.2218316,-0.037933767,9
250,2.0,3.6852e-05,37.3233,4.0,8.5,0,0,0,10.1267,0.4237,7.8383,-1.0242,7.5128,1.1732055,-0.034448206,10
250,3.0,-0.00085473,11.9167,3.0,0.5,0,0,4,4.536,-0.065088,2.8314,-1.0039,1.5191,1.1880428,-0.08479762,11
250,3.0,-0.0021627,31.2581,4.0,1.5,0,0,0,10.972,-0.14577,5.3139,-1.0997,4.4376,1.2252047,-0.027580976,12
250,3.0,-0.00014591,26.6429,4.0,6.0,0,0,1,9.1415,0.14773,5.5351,-0.23221,5.3065,1.2277335,-0.11346182,13
250,2.0,-0.0012775,26.5353,4.0,3.5,0,0,0,14.6009,-0.35109,6.5439,-0.35042,6.0676,1.1902055,-0.022983968,14
250,3.0,-0.0012312,0.47734,4.0,10.5,0,0,2,11.9982,-0.35249,4.0931,-1.0433,1.0494,1.2433641,-0.016395092,15
250,2.0,-0.00012746,31.6283,4.0,9.0,0,0,0,13.0875,0.034787,8.5517,-1.0507,7.6376,1.1640375,-0.027858973,16
250,3.0,0.00061619,17.7581,3.0,0.0,0,0,4,9.3885,-0.29505,3.6097,-1.0346,3.1034,1.2638297,-0.049618185,17
250,3.0,-0.00017034,27.5204,4.0,6.0,0,0,1,10.3486,0.14259,6.0386,-0.21519,5.7843,1.213242,-0.08475208,18
250,3.0,-0.0003172,23.6398,4.0,6.0,0,0,1,12.6522,0.28333,5.6833,-0.4335,4.6782,1.2398993,-0.08953923,19
250,3.0,-4.0784e-05,34.4988,4.0,9.5,0,0,0,15.5649,-0.41805,8.5478,-1.0144,6.0335,1.1654751,-0.044511437,20
250,2.0,-0.00010448,22.0404,4.0,7.5,0,0,1,15.7487,-0.30976,7.2943,-0.22225,6.4404,1.2482905,-0.08769083,21
250,2.0,-8.1955e-05,23.8557,2.0,25.0,0,0,0,15.0594,0.70216,5.6146,-0.78116,2.438,-1.1956514,0.022310138,22
250,2.0,-0.00010519,25.8564,2.0,26.0,0,0,0,8.9692,0.52107,5.3527,-0.8381,2.2448,-1.203985,0.037207544,23
250,3.0,-0.0012066,31.5392,2.0,33.5,0,0,0,23.73,-0.6674,0.75349,-0.25218,0.14005,-1.1925033,0.01495707,24
250,3.0,0.00014029,21.1408,2.0,28.5,0,0,0,5.2109,0.2977,4.1298,-1.0095,3.7315,-1.1992522,0.0034555793,25
250,2.0,-0.00017372,18.5483,2.0,26.0,0,0,0,9.7567,0.58599,5.5508,-1.0026,5.2062,-1.1769291,0.026686668,26
250,2.0,0.00062694,15.8381,2.0,20.0,0,0,0,39.8395,1.0751,5.7744,-1.0161,3.1702,-1.1680323,0.044719756,27
250,3.0,-6.5227e-05,22.8031,2.0,30.0,0,0,0,9.279,-0.044483,4.8435,-1.0125,3.5433,-1.2062057,0.06356853,28
250,2.0,-5.0263e-05,28.74,2.0,27.0,0,0,0,8.6425,0.35367,5.7627,-1.0283,4.6198,-1.2227771,0.08927941,29
250,3.0,-3.5284e-05,27.6395,2.0,32.0,0,0,0,10.6906,-0.29805,6.6323,-0.53545,3.134,-1.2025739,-0.018556058,30
250,2.0,0.0019598,17.5557,2.0,33.0,0,0,0,14.9254,-1.8162,10.8812,-1.0967,9.8577,-1.1793009,0.08400017,31
250,2.0,-0.0024178,16.9647,2.0,31.5,0,0,0,8.0267,-0.037369,1.7612,-0.4424,1.0284,-1.1773685,0.07152271,32
250,3.0,-0.0007784,21.1539,2.0,27.0,0,0,0,3.2688,0.65853,1.7243,-1.0026,1.4806,-1.155462,0.0440619,33
250,3.0,0.00010947,15.1448,2.0,26.0,0,0,0,21.0815,0.51539,3.6638,-1.0066,3.2478,-1.1594678,0.015576839,34
250,2.0,0.00035045,21.1156,2.0,26.5,0,0,0,15.4706,0.049987,5.7986,-1.0123,5.3144,-1.1578382,0.06984949,35
250,3.0,-5.8551e-05,32.2019,2.0,28.0,0,0,0,13.8102,0.61721,4.869,-1.0287,3.9752,-1.2714903,0.058216214,36
250,4.0,-1.7212e-05,31.8907,2.0,9.0,0,0,0,39.4774,-0.5314,9.8255,-0.23963,9.5386,0.27492422,-0.9538427,37
250,4.0,9.2149e-05,43.993,2.0,7.5,0,0,0,19.6651,-0.41799,10.2481,-0.38461,8.9007,0.32016295,-0.977156,38
250,4.0,-1.7402e-05,43.3687,2.0,6.5,0,0,0,36.9169,-0.50758,8.7795,-0.22412,8.5914,0.31586784,-0.9492728,39
250,4.0,0.00026487,50.7418,2.0,14.5,0,0,1,12.2103,-0.19178,12.44,-1.0211,9.4411,0.33679217,-0.96041924,40
250,4.0,-9.0747e-05,39.3078,2.0,8.0,0,0,0,18.7805,-0.61831,10.4422,-0.36685,10.1475,0.3433668,-0.9601992,41
250,4.0,0.00028903,49.724,2.0,7.0,0,0,0,33.5636,-0.23465,8.83,-0.64909,7.4448,0.26000136,-0.9655754,42
250,4.0,0.00031018,35.4001,2.0,9.0,0,0,0,28.8984,-0.27934,10.9395,-0.23901,9.1281,0.2581498,-0.99330145,43
250,4.0,-0.00031695,37.6705,2.0,9.5,0,0,0,18.5191,-0.2589,10.5061,-0.25063,9.14,0.27667564,-0.99678534,44
250,4.0,0.00013336,39.4077,2.0,16.0,0,0,1,38.0915,-0.34095,9.8221,-0.47013,9.3932,0.25900024,-1.0009496,45
250,3.0,-0.00014486,52.652,2.0,19.5,0,0,0,37.4,-0.68899,13.0936,-0.45181,9.2215,-0.39511722,0.38949007,46
250,2.0,-5.8992e-05,55.08,2.0,11.0,0,0,0,17.6347,1.2215,11.9696,-1.171,10.7972,-0.3819242,0.3986376,47
250,3.0,-2.1329e-05,49.3971,2.0,17.0,0,0,0,23.7724,0.16905,13.7341,-1.0071,12.9197,-0.41428024,0.3971011,48
250,3.0,-2.5866e-05,54.2278,2.0,17.5,0,0,0,34.025,-0.01276,13.5013,-0.62545,10.0933,-0.43431753,0.3881125,49
250,3.0,-2.1982e-06,59.2066,2.0,16.2434,0,0,0,18.427,0.10408,13.9676,-1.0805,12.2969,-0.3729002,0.42915744,50
250,2.0,-7.6783e-06,38.5427,2.0,13.5,0,0,0,46.6991,0.58526,12.7395,-0.54981,9.3509,-0.45158666,0.37324113,51
250,3.0,-0.0010134,49.4797,2.0,21.0,0,0,0,23.9889,-0.48891,12.4688,-0.56602,10.0851,-0.38597852,0.37372917,52
250,2.0,0.0011367,50.8281,2.0,9.0,0,0,0,30.8143,1.4002,13.7187,-1.0051,10.5048,-0.43259603,0.37622225,53
250,3.0,-0.00037777,63.5895,2.0,20.0,0,0,0,33.8719,-0.41409,12.2535,-0.21856,7.6517,-0.43807393,0.36153293,54
250,3.0,-6.1064e-05,62.9632,2.0,19.0,0,0,0,17.3242,-0.91632,13.0204,-1.0099,12.5886,-0.3485852,0.45421928,55
250,3.0,0.0011925,50.5868,2.0,11.0,0,0,0,52.7127,1.377,13.9138,-0.61957,9.6929,-0.45818263,0.3880927,56
250,3.0,-0.00053085,39.1383,2.0,19.5,0,0,0,35.7661,-0.82253,13.9641,-0.56021,11.059,-0.31319386,0.3552156,57
250,3.0,-0.00064902,57.8539,2.0,18.5,0,0,0,39.7438,-0.62854,12.8174,-0.402,8.6795,-0.34157854,0.41447276,58
250,2.0,-0.00028072,106.52,2.0,5.0,0,0,3,192.4138,-6.4453,1.8548,-1.038,0.93052,1.3806036,2.2056506,59
250,2.0,-0.00035001,83.8465,4.0,16.5,0,0,0,67.3696,-2.6685,23.0825,-0.21566,22.476,0.79623574,0.65662354,60
250,3.0,0.00039286,98.4732,4.0,8.5,0,0,0,78.123,1.5382,22.4384,-0.90028,21.36,0.8136948,0.76407117,61
250,2.0,0.00018101,75.61,4.0,8.0,0,0,1,84.2143,0.42992,22.7234,-0.20742,22.5534,0.8969019,0.7063691,62
250,2.0,-0.00020082,99.9085,4.0,14.5,0,0,0,40.3713,-1.4014,23.7948,-0.8037,23.0124,0.88771063,0.6639742,63
250,2.0,-1.977e-05,93.251,4.0,12.0,0,0,1,45.469,-0.18895,24.901,-0.21548,24.1731,0.85706884,0.64418644,64
250,2.0,0.00033308,73.3672,4.0,7.0,0,0,2,91.8736,3.3015,20.5503,-0.20588,20.1786,0.7570737,0.65745956,65
250,2.0,0.00075312,99.8228,1.0,-1.8036,0,0,0,46.9457,1.35,24.1864,-0.23833,23.6214,0.8583781,0.7283264,66
250,3.0,0.00012041,71.94,1.0,-1.5,0,0,4,58.1274,1.3547,27.9473,-0.23785,27.8116,0.83543307,0.7071598,67
250,2.0,0.016207,29.7614,2.0,19.5,0,0,0,19.9409,1.4335,1.684,-1.0138,0.49731,-1.4090863,-2.6933556,68
250,4.0,-0.00082026,22.5586,2.0,17.0,0,0,0,18.8743,-0.077792,3.7604,-0.23036,3.0315,-0.07960828,-1.32129,69
250,4.0,-0.0010012,15.7786,2.0,16.0,0,0,0,7.5812,0.15368,3.5695,-0.20116,1.383,-0.06585212,-1.3235724,70
250,4.0,-0.0012123,18.4232,2.0,19.0,0,0,0,6.3581,-0.22411,3.8675,-0.20053,3.228,-0.08552797,-1.3155425,71
250,4.0,-0.0008156,18.6089,2.0,17.5,0,0,0,12.0664,-0.075706,3.7361,-0.22222,3.1262,-0.09705301,-1.3347242,72
250,4.0,-0.00063049,12.3525,2.0,18.5,0,0,0,7.6558,-0.33697,3.5289,-0.22311,3.2705,-0.09830864,-1.3380871,73
250,4.0,-0.00040594,20.8893,2.0,16.0,0,0,0,13.9398,0.071241,5.5836,-0.25288,3.1279,-0.09410079,-1.3300776,74
250,4.0,-0.00082365,11.0612,2.0,16.0,0,0,0,18.223,0.043662,3.8296,-0.24219,1.0136,-0.07119043,-1.3045175,75
250,4.0,-0.00093467,14.0442,2.0,19.5,0,0,0,10.8217,-0.51193,3.4086,-0.21107,2.0893,-0.091398194,-1.3076351,76
250,4.0,9.511e-05,14.4331,2.0,16.0,0,0,0,12.2464,-0.076759,7.1672,-0.24045,4.8037,-0.07553084,-1.3682306,77
250,4.0,-0.00053535,13.5902,2.0,15.9618,0,0,0,11.3228,0.22325,4.2503,-1.01,3.5857,-0.079783514,-1.2970507,78
250,4.0,-0.00088316,15.9792,2.0,16.0,0,0,0,6.9215,0.077396,3.5603,-0.32883,2.3945,-0.04315014,-1.3178225,79
250,4.0,9.1102e-05,29.8878,2.0,16.0,0,0,0,10.4056,-0.15465,5.6806,-1.0671,3.6122,-0.05590208,-1.3028715,80
250,2.0,8.0539e-05,110.0045,2.0,18.0,0,0,0,147.3816,1.9888,27.4226,-1.4346,27.2069,-1.2638451,1.6031172,81
