code_country,NumberOfLanesInPrincipalRoad,FrontCurvature,T1_ego_speed,T1_climate_day_period,T1_climate_outside_temperature,T1_climate_dazzled,T1_climate_fog,T1_climate_precipitation,T1_V1 (CIPV)_pos_x,T1_V1 (CIPV)_pos_y,T1_V1 (CIPV)_absolute_velocity_x,T1_V1 (CIPV)_absolute_acceleration_x,T2_V1 (CIPV)_absolute_velocity_x,latent_1,latent_2,representative_id
250,2.0,-0.0027816,29.0506,2.0,22.5,0,0,0,23.5723,-1.2883,10.3226,-0.20599,10.2062,0.3082557,0.3069574,0
250,4.0,-0.0019515,37.7643,2.0,25.0,0,0,0,24.9853,-0.86539,9.6108,-0.86211,7.6053,0.30673087,0.29441923,1
250,3.0,-0.0024795,33.12,2.0,2.0,0,0,0,9.294,0.21134,6.6671,-1.0088,2.4127,0.29306704,0.29076082,2
250,4.0,-0.0020373,29.4069,2.0,16.0,0,0,0,34.9393,-2.0694,10.7505,-0.37701,10.3098,0.2996898,0.284901,3
250,2.0,-0.0016965,36.4599,2.0,24.5,0,0,0,16.9643,-0.74855,9.1296,-0.47938,8.7654,0.32131895,0.28946933,4
250,2.0,-0.0015432,39.2262,2.0,23.5,0,0,0,13.9583,0.19879,8.0432,-0.76779,5.0067,0.30953157,0.28094423,5
250,2.0,-0.0010354,40.7977,2.0,38.0,0,0,0,11.4887,-0.19487,6.5504,-1.0483,5.9484,0.3051463,0.30730614,6
250,3.0,-0.0026053,31.34,2.0,10.0,0,0,0,1.6693,-0.022466,7.8143,-1.0174,6.3047,0.32687476,0.2943788,7
250,4.0,-0.0019845,32.2817,2.0,16.0,0,0,0,36.6595,-1.7173,10.1598,-0.20488,9.664,0.2854897,0.30318573,8
250,2.0,-0.0014228,37.0379,2.0,36.5,0,0,0,9.8852,-1.2402,7.0802,-1.5364,1.4299,0.3118744,0.3210619,9
