code_country,NumberOfLanesInPrincipalRoad,FrontCurvature,T1_ego_speed,T1_climate_day_period,T1_climate_outside_temperature,T1_climate_dazzled,T1_climate_fog,T1_climate_precipitation,T1_V1 (CIPV)_pos_x,T1_V1 (CIPV)_pos_y,T1_V1 (CIPV)_absolute_velocity_x,T1_V1 (CIPV)_absolute_acceleration_x,T2_V1 (CIPV)_absolute_velocity_x,latent_1,latent_2,representative_id
250,4.0,0.0018383,55.8358,2.0,8.5,0,0,1,89.4625,8.0886,16.121,-1.0209,15.7801,-2.7758396,-0.59509796,0
250,2.0,0.0013324,88.0179,2.0,30.0,0,0,0,77.1736,4.9258,27.3277,-1.0076,26.6609,-3.894422,-0.6858408,1
250,2.0,0.00027715,129.7276,2.0,11.0,0,0,0,38.4953,1.3096,21.013,-11.2347,13.3448,-3.6394515,-0.8029341,2
250,2.0,0.0011307,77.1513,2.0,16.5,0,0,0,110.1832,5.1555,25.0329,-1.0079,24.2037,-2.9333835,-0.5990891,3
250,4.0,0.0013992,68.7346,2.0,19.0,0,0,0,66.93,4.2929,15.4387,-1.0631,13.3368,-2.6294224,-0.6082979,4
250,2.0,0.00064882,92.3079,2.0,15.0,0,0,0,139.2729,5.6672,23.8716,-1.0019,23.5257,-2.870931,-0.47938842,5
250,4.0,-0.00011807,49.39,2.0,10.5,0,0,0,55.9204,1.9848,10.7621,-2.1879,6.0457,-2.0346758,-0.56085485,6
250,3.0,0.00051915,33.3408,2.0,31.5,0,0,0,19.6026,-0.59552,7.5818,-0.21122,7.1666,-1.4822198,-0.5394657,7
250,2.0,0.0023183,33.7429,2.0,25.0,0,0,0,32.077,0.96818,10.5198,-0.54048,2.1012,-1.5582534,-0.5377016,8
250,2.0,0.0045093,40.0022,4.0,23.0,0,0,0,44.8208,1.7268,7.5469,-1.1301,6.9233,-2.6222048,-0.8762871,9
250,4.0,0.0015344,63.7635,2.0,21.5,0,0,1,61.348,3.6468,18.3258,-1.0,15.6092,-2.1624322,-0.058718853,10
250,2.0,-0.0025976,75.632,2.0,27.0,0,0,0,15.0656,0.77992,24.1864,-1.4839,16.2125,-2.2337346,-0.036215954,11
250,2.0,-0.00097541,76.8736,2.0,28.5,0,0,0,43.2972,-0.42857,18.831,-1.002,18.4898,-1.9948951,-0.02054506,12
250,4.0,-0.0013475,59.7154,2.0,31.5,0,0,0,17.4669,-0.40236,13.2293,-0.51723,12.7516,-1.7234251,0.07246084,13
826,2.0,-0.00042342,92.2535,2.0,16.0,0,0,0,81.36,-0.72,2.4514,-1.9645,0.24876,-1.7461157,-0.030249054,14
826,2.0,7.8998e-05,108.743,2.0,10.5,0,0,3,84.61,0.75,2.014,-1.1988,0.17073,-1.6018277,0.035411663,15
250,1.0,0.0016652,78.3427,2.0,15.5,0,0,2,57.8352,2.1027,14.5311,-1.18,5.8434,-1.5442861,-0.026625985,16
250,2.0,0.00027505,35.23,2.0,32.0,0,0,0,27.6285,-0.353,9.5901,-0.45212,6.1716,-1.5095555,-0.03146795,17
250,3.0,0.00019581,51.7589,4.0,12.0,0,0,0,28.352,0.4928,12.031,-1.0017,3.6494,-1.5438505,-0.08845394,18
250,2.0,-0.0018879,49.6815,2.0,25.5,0,0,0,13.1127,1.0242,11.7818,-1.4291,0.99166,-1.935383,-0.07657229,19
