code_country,NumberOfLanesInPrincipalRoad,FrontCurvature,T1_ego_speed,T1_climate_day_period,T1_climate_outside_temperature,T1_climate_dazzled,T1_climate_fog,T1_climate_precipitation,T1_V1 (CIPV)_pos_x,T1_V1 (CIPV)_pos_y,T1_V1 (CIPV)_absolute_velocity_x,T1_V1 (CIPV)_absolute_acceleration_x,T2_V1 (CIPV)_absolute_velocity_x,latent_1,latent_2,representative_id
826,4.0,-0.00018423,103.3523,4.0,13.5,0,1,0,138.78,-2.43,7.2206,-1.7334,0.38806,-2.2728379,-0.7476229,0
826,4.0,-0.00028603,104.2639,4.0,13.5,0,1,0,134.51,-2.35,8.9432,-1.7903,0.22519,-2.25685,-0.7275972,1
250,2.0,0.00011847,40.2651,2.0,21.5,0,0,0,197.6667,-1.2608,5.7892,-1.0445,0.9933,-2.265584,-0.708983,2
250,3.0,0.00041182,90.423,2.0,4.0,0,0,0,176.47,2.12,0.39472,-2.1198,-0.023621,-2.31011,-0.75104785,3
380,2.0,1.1906e-05,117.0286,2.0,5.5,0,0,0,142.03,0.64,2.514,-1.8925,0.29445,-2.2805324,-0.69459003,4
250,2.0,-6.1393e-05,0.0,2.0,17.5,0,0,0,140.7918,-12.769,13.1944,-1.1609,12.813,-2.232209,-0.70777667,5
250,2.0,-0.00025666,72.581,2.0,15.5,0,0,0,162.19,-2.83,7.5951,-1.3332,0.31459,-2.3139637,-0.7176205,6
250,1.0,-0.000438,80.9174,2.0,14.0,0,0,0,110.4434,-8.5962,8.203,-1.3221,7.1975,-2.217569,-0.74460965,7
250,2.0,-0.00019965,104.1249,2.0,10.5,0,0,0,131.1056,-4.4632,6.4225,-1.3977,1.7763,-2.3188372,-0.71537524,8
250,2.0,-0.0022506,56.6649,2.0,24.5,0,0,0,133.8392,-8.3835,12.9647,-1.0216,3.8081,-2.2716787,-0.7906727,9
826,2.0,-0.00031397,89.5143,2.0,17.9519,0,0,2,22.0998,-0.1929,22.185,-0.49887,22.0154,-0.990572,0.7594883,10
250,3.0,7.937e-05,80.2855,2.0,21.5,0,0,0,35.5863,-0.44882,23.0853,-0.21462,22.7099,-0.992146,0.77033883,11
250,2.0,-0.00024708,76.1399,2.0,18.5,0,0,0,31.1032,-0.40092,22.8018,-0.43744,22.3928,-0.9815874,0.74652076,12
250,4.0,0.0014689,87.2296,2.0,25.5,0,0,0,34.3723,-0.029497,23.0349,-0.38,21.4843,-0.9736947,0.74900347,13
826,2.0,0.00036206,77.4581,2.0,17.5483,0,0,1,41.1653,0.22804,22.0055,-0.2178,21.6565,-0.9984267,0.7616908,14
528,2.0,-0.00055275,79.6337,2.0,11.5,0,0,2,42.9186,-0.69471,21.8055,-0.41303,17.8359,-0.98782325,0.7772235,15
250,3.0,0.00011967,86.4515,2.0,16.0,0,0,0,33.2575,0.023124,23.5218,-0.58401,19.718,-0.96446896,0.75133526,16
250,2.0,0.00015303,95.0681,2.0,19.0,0,1,3,4.8742,-0.11459,24.2989,-1.1095,21.2299,-0.9944433,0.7849038,17
826,3.0,-0.00027123,86.8873,2.0,23.0,0,0,0,28.2185,-0.52004,23.3935,-0.21403,23.1967,-1.0145103,0.75981957,18
826,4.0,0.00010302,86.3654,2.0,22.5,0,0,0,30.5155,-0.73267,23.3014,-0.20578,22.7181,-1.0159713,0.7660062,19
250,3.0,-0.0010799,85.3192,2.0,17.5,0,0,0,34.9121,-0.7982,23.2432,-0.21433,20.4729,-1.0063028,0.73598343,20
250,3.0,0.0022431,87.6785,2.0,22.0,0,0,0,39.7183,2.5115,21.8481,-0.73668,21.359,-0.963521,0.78963,21
250,3.0,0.00052192,88.9884,2.0,13.5,0,0,0,34.9571,-0.37683,23.2881,-1.0186,19.3686,-0.95067513,0.7781198,22
826,4.0,-0.00027728,92.7118,2.0,20.0,0,0,0,17.6471,0.45567,24.1049,-1.0499,22.956,-1.0190881,0.770299,23
250,2.0,0.00021171,79.558,3.0,19.5,0,0,0,30.7622,0.55322,22.6528,-0.20147,20.2205,-0.96533346,0.7938841,24
250,3.0,-3.6532e-05,87.1049,2.0,22.0,0,0,0,34.839,-0.82463,22.4608,-0.21035,22.1495,-1.0178604,0.7428258,25
250,3.0,-0.000653,88.8857,2.0,20.0,0,0,0,20.7773,-0.7389,23.4128,-0.48701,23.1409,-0.9734211,0.7988972,26
250,2.0,-6.9882e-05,70.3155,2.0,21.0,0,0,0,33.6236,-0.034234,24.4174,-0.36878,23.0741,-1.0034674,0.7958115,27
250,3.0,-8.988e-05,87.8353,2.0,23.0,0,0,0,37.9183,-0.059665,22.448,-0.22329,21.3754,-1.0179739,0.73850423,28
250,2.0,4.1173e-05,91.8694,2.0,26.0,0,0,0,10.9537,0.74048,25.1227,-1.0126,21.4489,-0.96371233,0.72317,29
826,3.0,-0.0002823,85.7389,2.0,23.0,0,0,0,27.5257,-0.63668,23.0597,-0.22958,22.8419,-0.9807763,0.7177215,30
250,2.0,0.00021202,79.3027,2.0,18.0,0,0,0,32.5974,0.33577,21.952,-0.20892,21.7302,-0.95022285,0.7888271,31
250,2.0,0.00040895,91.6823,2.0,28.0,0,0,0,24.6786,0.19824,23.031,-0.22135,22.5,-1.0153954,0.7910167,32
250,2.0,1.317e-05,71.87,2.0,8.0,0,0,0,58.5965,-1.1119,21.4139,-0.44716,18.5781,-1.0258423,0.7735352,33
250,1.0,-0.00064521,93.8547,2.0,11.8874,0,0,2,21.8763,-1.3978,23.1003,-1.0259,17.6372,-0.98182225,0.71562994,34
250,4.0,-0.002008,70.1873,2.0,18.0,0,0,0,22.3251,-0.047233,25.3575,-1.0016,23.868,-0.9420397,0.7775877,35
250,4.0,-0.00025624,22.7748,2.0,10.5,0,0,2,19.9077,-0.158,5.6013,-0.20747,4.8427,0.6195636,-0.1397297,36
250,3.0,-0.001126,7.1292,2.0,15.0,0,0,0,7.0521,-0.025528,2.6514,-0.20124,2.386,0.61641884,-0.13715065,37
250,3.0,-0.0010275,19.49,2.0,13.5,0,0,2,5.4447,0.39806,2.3366,-1.01,1.8645,0.6163243,-0.13170542,38
250,4.0,0.0009328,32.2962,2.0,11.0,0,0,2,11.4544,-0.25034,7.3374,-1.0357,5.3491,0.62314403,-0.14882064,39
250,4.0,2.965e-05,25.1353,3.0,13.5,0,0,0,7.6629,-0.038268,5.0412,-1.0201,3.9789,0.62367105,-0.1248906,40
250,4.0,-0.00051932,4.3278,3.0,13.0,0,0,0,14.9213,-0.22502,4.5971,-1.0032,-0.25303,0.6354333,-0.13690737,41
250,2.0,0.005494,57.4473,2.0,9.0,0,0,0,20.8197,0.85041,14.0066,-1.0342,13.6737,0.62849176,-0.12491359,42
250,4.0,-0.00068086,6.9005,2.0,10.0,0,0,1,15.6682,-0.41941,3.0913,-1.036,0.16542,0.63345265,-0.12928435,43
250,4.0,0.00080727,45.6933,2.0,10.0,0,0,0,34.4063,0.85075,5.7841,-0.26292,3.7797,0.61080503,-0.14823207,44
250,2.0,-0.00098167,13.6964,2.0,11.0,0,0,1,10.8421,0.070241,3.437,-1.0209,2.3837,0.6316397,-0.14898892,45
250,4.0,-0.00073867,11.6486,2.0,11.5,0,0,1,11.6394,-0.10494,4.4277,-0.20216,3.765,0.6102812,-0.14978294,46
250,2.0,-0.00016375,21.1075,2.0,12.5,0,0,0,16.8229,-0.094385,4.831,-0.22486,4.6672,0.63243055,-0.15146306,47
250,4.0,-0.00021309,16.4596,2.0,11.0,0,0,1,17.1513,0.12796,5.3777,-0.43615,4.1966,0.6246215,-0.15504244,48
250,4.0,-0.00021147,14.5939,3.0,13.5,0,0,0,9.074,-0.25749,3.3484,-1.0016,2.7217,0.6258372,-0.15494695,49
250,2.0,-0.0001864,23.93,2.0,12.5,0,0,2,16.7895,0.71554,6.9374,-0.20843,4.8341,0.63963115,-0.13730633,50
250,4.0,2.9069e-05,17.73,1.0,12.5,0,0,2,29.148,0.46913,3.5199,-0.2609,3.248,0.6346985,-0.15164727,51
250,3.0,-0.00058005,11.66,2.0,12.0,0,0,0,24.6216,-0.10356,3.1162,-1.0224,0.95295,0.6105182,-0.15433693,52
250,3.0,-0.00013916,23.2356,2.0,11.5,0,0,1,23.5193,0.15919,2.7215,-1.0329,1.8144,0.6398188,-0.14501001,53
250,2.0,-0.0015989,6.5939,2.0,11.5,0,0,1,10.8644,-0.50127,1.925,-0.20386,0.17123,0.6315533,-0.11953865,54
250,2.0,-0.00059978,15.12,2.0,11.5,0,0,0,15.4083,-0.19336,4.6253,-0.68819,2.6018,0.64033747,-0.12638158,55
250,3.0,-0.00024991,24.6736,2.0,13.0,0,0,0,13.4312,-0.073657,5.4608,-1.0029,2.6413,0.613889,-0.11609946,56
250,4.0,-0.0008901,13.8418,2.0,11.0,0,0,1,8.3563,-0.54242,3.5058,-0.22286,3.019,0.62013555,-0.11470958,57
250,2.0,-0.00050647,15.0446,4.0,16.0,0,0,0,11.9582,-0.35283,3.195,-1.0349,1.4442,0.63765144,-0.15362531,58
250,4.0,6.1816e-05,22.4873,2.0,11.5,0,0,2,13.0412,-0.00032409,6.2466,-0.20785,6.0398,0.6435958,-0.13112278,59
250,2.0,-0.00077592,18.3896,2.0,11.5,0,0,0,14.7706,0.020266,3.3124,-0.70927,2.3902,0.6001562,-0.14935368,60
250,4.0,0.00042222,25.3149,1.0,12.5,0,0,2,23.5714,1.2022,4.7003,-1.0104,4.0627,0.6412332,-0.15104939,61
250,4.0,-0.00084373,14.5714,2.0,11.5,0,0,1,10.7594,0.079315,3.6975,-0.20493,3.1822,0.61504364,-0.16115823,62
250,4.0,-4.757e-05,8.7609,3.0,14.5,0,0,0,12.3951,0.0835,3.3312,-0.20756,2.7605,0.6288161,-0.1132007,63
