code_country,NumberOfLanesInPrincipalRoad,FrontCurvature,T1_ego_speed,T1_climate_day_period,T1_climate_outside_temperature,T1_climate_dazzled,T1_climate_fog,T1_climate_precipitation,T1_V1 (CIPV)_pos_x,T1_V1 (CIPV)_pos_y,T1_V1 (CIPV)_absolute_velocity_x,T1_V1 (CIPV)_absolute_acceleration_x,T2_V1 (CIPV)_absolute_velocity_x,latent_1,latent_2,representative_id
250,1.0,-0.0041491,18.2815,4.0,5.5,0,0,0,13.6742,0.44366,0.28154,-0.20868,0.00018382,-1.7775462,-2.5007007,0
250,3.0,-0.0031318,14.459,4.0,6.0,0,0,0,6.4511,-0.71572,2.3909,-1.1969,1.0625,-1.5587925,-2.367418,1
250,3.0,-0.002492,2.9239,4.0,11.0,0,0,0,9.6759,-0.35327,3.1121,-0.53088,1.7515,-1.3773476,-2.429076,2
250,4.0,-0.0022025,7.0683,2.0,7.0,0,0,1,10.0364,-0.33779,1.3346,-0.22794,1.1044,-1.1321118,-2.4496236,3
250,3.0,-0.00063725,6.9389,1.0,15.0,0,0,0,13.7584,-0.23363,1.417,-0.20565,0.23502,-0.8988608,-2.403749,4
250,4.0,-0.0023671,14.2646,4.0,12.5,0,0,0,9.1241,-0.10585,1.6097,-1.0615,1.1374,-0.7520837,-2.4194484,5
250,4.0,-0.0020352,6.2004,4.0,14.0,0,0,0,17.0441,-0.94683,3.2616,-1.0049,0.34154,-0.57030106,-2.447716,6
250,3.0,-0.00053419,10.269,2.0,18.5,0,0,0,8.0792,0.10629,2.1248,-0.20495,0.86402,-0.3695443,-2.4160225,7
250,2.0,-0.0031911,8.3806,2.0,9.5,0,0,0,10.5996,-0.41074,2.8907,-1.0002,2.4395,-0.1569677,-2.47173,8
250,4.0,-0.00039898,10.1752,2.0,19.5,0,0,0,7.8108,-0.17075,1.4935,-0.20634,1.1918,-0.01400879,-2.4429336,9
250,4.0,-5.3406e-05,0.0,2.0,21.0,0,0,0,13.3915,-0.6816,2.3797,-0.23154,1.6831,0.1273486,-2.4708164,10
250,4.0,-0.00026036,6.3593,2.0,19.5,0,0,0,11.5906,-0.18491,2.814,-1.0176,0.31569,0.2911158,-2.4332206,11
250,2.0,8.5296e-05,6.63,2.0,22.5,0,0,0,11.1624,0.33444,0.7239,-0.4161,0.25575,0.4403851,-2.455528,12
250,4.0,-0.00034823,3.3023,2.0,25.0,0,0,0,10.3139,-0.5323,4.2137,-0.23481,2.4206,0.54298186,-2.4892604,13
250,4.0,-0.00050171,8.1069,2.0,25.5,0,0,0,21.6954,-0.87424,3.5263,-0.2129,1.1719,0.7415824,-2.5129309,14
250,3.0,-0.0033368,27.1534,2.0,23.0,0,0,0,15.2909,-1.1881,6.0734,-0.41566,2.367,0.9139966,-2.575765,15
250,4.0,-0.0018147,21.936,2.0,32.5,0,0,0,17.7625,-0.59846,6.1387,-0.26447,3.2127,1.1884432,-2.6496544,16
250,3.0,5.4375e-05,39.2185,2.0,43.5,0,0,0,23.6353,0.12352,1.079,-0.27816,-0.54256,1.6374176,-2.8848248,17
250,2.0,-0.019237,55.5255,2.0,18.5,0,0,0,1.3549,0.67841,14.0236,-1.0318,11.8307,3.8896737,-4.1518626,18
250,3.0,-0.0035762,8.8808,4.0,4.0,0,0,0,9.0639,0.24813,2.2697,-0.37991,1.5151,-2.263866,-2.2077954,19
250,3.0,-0.0010771,7.3256,2.0,4.0,0,0,0,12.3944,-0.10279,0.71164,-0.22243,0.4268,-1.8870567,-2.1050012,20
250,3.0,-0.0014858,4.8583,4.0,8.5,0,0,0,6.1468,-0.26633,2.9947,-1.2461,2.0797,-1.5746337,-2.142844,21
250,4.0,0.00012187,1.0402,2.0,7.0,0,0,2,10.979,-0.54686,1.5241,-0.42784,0.61739,-1.344047,-2.1505544,22
250,3.0,-0.00029741,1.768,2.0,11.5,0,0,1,8.8712,0.22711,2.5908,-0.21414,2.4164,-1.1431313,-2.17219,23
250,3.0,-4.1448e-05,0.0,2.0,13.5,0,0,1,12.972,0.043537,2.7169,-0.29261,2.5241,-0.94027215,-2.1645656,24
250,4.0,-0.00022335,6.3474,2.0,11.0,0,0,1,7.0771,-0.27957,1.3819,-1.0017,1.0703,-0.7572062,-2.214857,25
250,3.0,0.00022893,9.6479,2.0,16.7611,0,0,1,14.1514,0.13931,1.5586,-0.2951,0.91361,-0.56161314,-2.1823149,26
250,4.0,-1.0745e-05,10.5442,2.0,16.5,0,0,1,6.6269,-0.18959,2.2326,-0.22274,2.0303,-0.3778931,-2.1797807,27
250,3.0,0.00015232,11.9488,2.0,20.6407,0,0,0,10.0325,-0.23834,2.557,-0.20108,2.0698,-0.15998855,-2.2100754,28
250,4.0,-9.0575e-05,9.604,2.0,19.5,0,0,0,11.8146,-0.38452,3.4313,-0.21821,1.5851,-0.0098538995,-2.223554,29
250,4.0,-0.00032404,20.6197,2.0,20.0,0,0,0,6.9753,-0.02803,2.1371,-0.23478,1.679,0.11724043,-2.2089999,30
250,3.0,-0.00027513,13.1947,2.0,20.0,0,0,0,17.7938,-0.44514,3.7198,-1.0159,0.94984,0.2725148,-2.2148168,31
250,2.0,-0.00036564,16.834,2.0,19.0,0,0,0,6.2295,-0.032875,1.9074,-1.0238,1.3335,0.42069644,-2.2111998,32
250,4.0,-5.6868e-05,18.4126,2.0,21.5,0,0,0,12.1559,0.38537,3.3154,-1.0249,0.098318,0.55864644,-2.213705,33
250,3.0,-0.0011908,25.2515,2.0,23.988,0,0,0,8.6645,0.50097,4.405,-1.0291,3.1183,0.7369877,-2.2149274,34
250,4.0,-0.0014909,5.8071,2.0,21.0,0,0,0,24.8646,-1.056,5.746,-1.0981,4.8554,0.908818,-2.2152221,35
250,4.0,7.7894e-05,23.0071,2.0,33.0,0,0,0,13.2396,0.18974,6.7847,-1.0098,3.2279,1.171901,-2.2226794,36
250,2.0,-0.0023839,14.1913,2.0,24.5,0,0,0,41.0673,-2.6554,6.3338,-0.88412,6.0184,1.57169,-2.183959,37
250,2.0,-0.0024562,15.6765,2.0,21.0,0,0,0,120.6446,-18.1077,7.0806,-1.0213,0.63744,4.6526365,-2.2739136,38
250,3.0,-0.0011307,6.2516,4.0,6.5,0,0,0,11.1555,0.13977,1.6387,-0.35411,1.311,-2.1634583,-1.9265234,39
250,4.0,-0.0017977,8.1325,4.0,7.5,0,0,0,15.1973,1.7651,1.8233,-0.20093,1.6437,-1.8620507,-1.9646161,40
250,3.0,-0.00021712,7.2577,4.0,12.0,0,0,1,8.5116,-0.34693,2.1161,-0.20015,1.6585,-1.5722233,-1.9808421,41
250,3.0,-0.001203,17.9239,4.0,12.0,0,0,0,9.5329,-0.20298,2.3402,-0.55196,1.972,-1.3530558,-1.9887424,42
528,3.0,1.5802e-05,9.8036,2.0,13.0,0,0,0,11.0909,0.14231,2.8823,-0.22979,2.2986,-1.1589243,-1.9950402,43
250,2.0,-2.9964e-05,7.6974e-13,2.0,11.5,0,0,1,13.3149,0.48617,2.3301,-0.21697,2.1886,-0.93003535,-1.9918673,44
250,3.0,-0.00010541,6.2471,2.0,13.5,0,0,0,13.9728,0.81332,3.614,-1.0136,2.0387,-0.74881494,-1.9985644,45
250,2.0,-0.00072298,13.332,2.0,12.5,0,0,0,9.5372,-0.22706,2.8751,-0.31159,2.2737,-0.5590549,-1.9893291,46
250,2.0,-0.00041022,14.3782,2.0,14.5,0,0,0,17.7079,0.40222,1.8672,-0.20186,1.1649,-0.3770792,-1.9941983,47
250,3.0,-0.00019025,17.0137,2.0,19.0,0,0,0,11.8458,-0.096742,5.1711,-0.39101,1.7355,-0.18125746,-1.9971969,48
250,3.0,-0.00021983,15.9506,2.0,18.5,0,0,0,8.9971,-0.083579,4.0943,-1.0086,3.2569,-0.019339472,-2.0052197,49
250,2.0,-0.00080386,15.7762,2.0,17.5,0,0,1,15.5958,-0.031327,3.2962,-0.39637,2.4382,0.14385286,-1.9965918,50
250,2.0,-5.5447e-05,15.9678,2.0,17.5,0,0,0,15.2863,0.025418,2.9628,-1.0015,0.8964,0.27420223,-1.9936185,51
250,4.0,-0.00041384,0.0,2.0,20.5,0,0,0,34.3873,-0.75751,5.4963,-0.49173,4.2913,0.42293215,-2.0040789,52
250,4.0,-3.5301e-05,19.0659,2.0,20.5,0,0,0,20.5004,0.019539,3.546,-1.0034,1.5387,0.56126195,-2.0030677,53
250,2.0,7.0899e-05,16.2244,2.0,28.5,0,0,0,14.0258,0.067867,6.7423,-0.248,3.8039,0.7281383,-1.9932078,54
250,2.0,4.1995e-05,18.6191,2.0,26.0,0,0,0,23.8854,-0.52925,4.4753,-0.60923,3.0587,0.9178276,-1.9854879,55
250,4.0,-5.3768e-05,28.6073,2.0,31.5,0,0,0,22.4493,0.12381,6.4121,-0.95109,4.1057,1.1715747,-1.9982368,56
250,2.0,-0.0023831,50.4218,2.0,34.0,0,0,0,18.0672,-0.611,8.3727,-0.83718,7.161,1.6923867,-2.0259488,57
276,2.0,-0.0017653,43.4288,2.0,18.0,0,0,2,54.3662,-0.75588,0.29781,-4.1401,-1.9477,4.125082,-1.994521,58
250,3.0,-0.0002314,5.108,2.0,1.5,0,1,0,12.152,-0.18774,4.1558,-0.5063,0.83582,-2.1247034,-1.7986612,59
250,3.0,-0.00027635,12.2894,4.0,7.0,0,0,0,6.7947,-0.34534,1.7101,-1.0303,1.0768,-1.8828627,-1.8224028,60
