latent_1,latent_2
2.8155105,9.470627
3.3846276,3.1628141
3.803941,3.0813458
4.549156,1.3751212
5.0216026,1.9476209
5.065976,1.3485205
4.6794186,1.0393057
5.0069666,3.1367652
4.7328815,0.8659775
4.2634397,0.1224787
4.2467527,-0.11719682
3.8438017,-0.4469917
6.530648,5.1230507
3.229853,3.6372333
4.6395164,7.8796163
5.5607677,0.9905665
4.415257,0.90152645
4.552655,0.7250804
4.601549,0.6513512
4.6153917,0.56578326
5.815325,1.4129188
5.605977,1.9846935
6.6663013,2.382154
4.309473,2.8386354
4.801124,1.5865767
4.6519136,2.8759227
5.3930364,2.318646
5.645455,3.738774
5.081367,1.5108742
5.136345,1.3149045
5.3338437,1.1618438
7.236063,2.6764016
5.3570538,1.9145287
5.3516207,1.0721827
5.339634,1.0448099
5.313805,1.0082221
5.539924,1.6338129
5.0932565,3.3414328
4.693516,1.6215346
5.2402864,1.4274313
5.2204843,1.3993628
5.2983894,1.7921667
5.2686877,1.531867
5.1914034,1.3247794
5.098814,1.0320377
5.142784,0.91923845
5.215355,0.887756
4.6841106,0.5348637
4.4875026,0.22883984
4.7428613,0.41722485
4.597276,0.2616565
6.849194,2.4888108
5.4843955,1.4728898
4.5475225,2.1055052
5.681302,1.583066
5.636805,1.9040954
5.5297155,3.1838255
5.720423,1.9056889
5.817101,1.1311686
3.0266912,2.8693147
4.2895746,3.6151989
4.1659403,3.43849
21.942236,20.547009
10.857654,9.074694
23.30174,20.001781
5.385544,5.371391
6.873927,4.7353764
5.7014213,4.284143
4.5452304,3.1017137
5.485384,3.754825
6.1269126,4.198463
4.564619,2.2806444
4.3819118,1.2511407
5.1128483,1.5871778
6.2916546,1.7981038
4.4287767,1.6869692
5.0190516,1.7946337
5.9365892,2.4637842
5.818448,2.2456563
5.812258,2.2751935
4.8817296,3.3239284
2.9975598,3.719636
2.6041088,3.1659873
3.284612,3.7687001
3.2695656,3.6527262
7.4136877,8.354698
3.1075926,4.272169
4.685894,8.196019
3.003139,9.024297
9.215165,6.9996824
3.9373858,6.733745
4.729635,7.7549167
5.8599215,4.3085237
5.4178195,4.291068
4.0659623,4.7185335
4.4090986,4.604178
3.2111814,5.391343
6.0417376,5.173101
7.7090273,6.5437026
6.796061,2.0197716
7.312217,2.0991607
6.441042,2.3212051
6.8757257,2.135386
8.04011,2.3893056
6.8916674,2.2730813
4.4365654,4.857701
5.499572,8.538628
8.492839,3.029275
8.507289,1.7753704
8.500209,2.0215588
8.3574,2.110118
7.786253,1.972065
8.541397,2.5003266
8.099679,6.6423388
4.9663525,8.093492
1.6751086,6.9967175
3.0622826,5.5701594
7.84665,1.9577651
7.001972,2.010502
6.7492204,1.6500686
8.315029,2.3682394
4.5568385,4.7446103
4.2085867,3.1900754
5.5945425,2.2692838
-0.6626027,-7.8306146
0.94404954,-7.445531
2.7173667,3.2315974
2.431283,4.913909
3.1380372,4.298396
4.4608665,5.2401967
4.6424265,2.9523258
5.376602,1.6065466
5.0801764,3.179265
5.577014,1.7460065
5.599271,1.4937258
3.774883,3.8771687
4.8946986,3.534243
4.5317135,2.2725463
4.432939,1.2409688
4.2617893,0.7217704
4.539969,2.7665124
4.342603,3.6548042
2.406278,3.3813472
3.08826,3.4418755
2.916423,6.271109
0.19147886,4.8187943
1.0388235,10.317569
0.76962155,13.960473
9.280747,15.252297
9.531388,12.568533
9.656167,12.785164
2.355713,4.861476
2.258163,3.1755283
2.3904696,3.0898268
1.230533,2.8015752
1.2813631,2.7878056
11.877996,18.82159
2.115751,2.9320455
3.5995684,1.0182031
4.3046684,1.1076326
3.9774787,0.82219326
3.9580505,0.7051848
3.9190514,0.7333733
4.0884447,1.9035724
3.8793504,2.7350507
3.3632085,2.3864279
2.9622865,2.1619763
2.9967449,2.1808133
3.7391288,2.7045193
4.5616,3.031828
4.438759,3.0621653
5.219123,3.6895723
5.20898,3.656229
6.8303766,4.7583275
3.2705066,1.9202769
3.460282,1.8330898
5.261952,1.7174877
3.9431255,2.3634124
3.6882303,1.8445594
3.6796227,1.6991203
3.6715944,1.3450148
3.6399436,1.9747276
3.2814376,1.783631
3.1780746,2.0471973
4.525973,1.510393
3.5478737,1.3199415
4.3756204,1.7550069
3.553848,2.3677173
4.525166,2.4030895
3.1744292,3.2666187
3.162063,2.95508
2.3587372,2.6879187
3.8613265,3.5022392
2.2005525,4.2724094
4.821341,4.7557654
3.6266181,2.6788898
3.5124931,2.4276814
3.4357126,1.2477034
3.708655,0.9783652
3.5952568,0.71285534
5.076976,2.121367
5.2886915,3.4746587
7.36567,4.788606
5.6902447,3.722594
4.3526397,1.8178452
4.248373,0.74478257
4.741841,0.63557863
4.566025,0.76525486
3.618552,-0.71768975
4.995657,1.2496341
5.3057203,1.2413527
5.0048046,1.131808
5.1903324,2.6781225
5.045881,1.288827
4.784727,1.0200081
4.988655,1.6283112
