latent_1,latent_2
-4.459888,-4.9615746
-1.7951293,-2.2456558
-1.8556188,-1.5795268
-1.2281375,-0.12120612
-1.3006669,-0.19426759
-1.204956,0.14512034
-0.8716432,0.21649934
-1.1119033,-0.90523297
-1.4050156,0.13249452
-1.2129624,0.21260168
-1.0182903,0.21456371
-0.9375278,0.08607657
-1.5816641,-1.6536944
-2.4259028,-2.9614317
-3.4357653,-3.276868
-0.90651405,0.33238965
-1.2732046,-0.46205086
-1.294214,-0.5313908
-1.3331827,-0.1458198
-1.3144742,-0.12936191
-1.3988805,0.22116025
-1.441277,0.17560144
-1.3213474,0.5307648
-1.3256781,-1.316699
0.12611303,0.045837358
-1.7187371,-0.9871369
-1.6936924,-0.10753439
-1.7236174,-0.32357883
-1.2712212,0.02252616
-0.025057524,0.06633268
0.0038114488,0.055811346
0.14972171,-0.012708798
0.020109445,0.039264172
0.058082134,0.02659008
0.05255273,0.028872252
0.048500746,0.030900523
0.05678472,0.030297875
-1.8811504,-0.7139211
-1.1341121,-0.1784529
-1.2500222,0.18629254
-1.2379129,0.2189007
-1.2641522,0.032156363
-1.2232306,0.17351146
-1.2063032,0.210615
-1.0725263,0.2082261
-1.0631509,0.19778673
-0.9991571,0.20169954
-1.0859255,0.2003643
-1.11456,0.19030847
-1.079799,0.19422849
-1.0875908,0.19338323
-1.4973,0.23259152
-0.95524037,0.22133781
-1.2328517,-0.9281848
-1.2644702,0.23756577
-1.4083215,0.13434519
-1.6166049,-0.16571538
-1.4984516,0.1477039
-1.308119,0.20974137
-2.269118,-2.3058536
-1.8582221,-1.7429023
-2.1902077,-1.3734156
-2.3704052,7.8242917
-2.250762,2.8376722
-1.7743651,8.182038
0.09536031,0.07793893
0.0773105,0.03228326
-2.604427,-0.17680572
0.4973012,0.021595046
0.37978265,0.010364816
0.3613077,-0.002023235
0.37570688,0.04338689
0.26906136,0.07399504
0.022608012,0.06027542
0.046214044,0.041743502
0.39464536,0.04760675
-0.018831939,0.08073203
-1.767538,-0.10362081
0.019909471,0.04906857
0.04853317,0.046595484
0.13658497,0.067775846
-2.885384,-2.8916407
-2.2649343,-2.7914062
-2.5743077,-2.7509527
-2.5034623,-2.6579974
-2.3900774,-1.4214048
-2.549303,-2.7888665
-3.9614558,-4.5002966
-4.5459995,-5.382323
-2.2456384,0.7091463
-3.8965883,-3.8975701
-1.8390535,-0.9362114
-2.021019,-1.8065782
-2.2345877,-1.939606
-3.0914257,-3.3400323
-2.9857178,-2.4863803
-3.507397,-4.2578416
-2.5519216,-1.8718176
-2.740556,0.6368627
-1.3242437,0.21563287
-1.367549,0.23544778
-1.3706772,-0.014551505
-1.4335885,0.18185885
-1.3370653,0.3824587
-2.0891514,-0.70448273
-2.8539455,-2.423463
-3.7255208,-1.2603835
-1.9355848,0.33454156
-1.4346548,0.43655115
-1.4465803,0.3202377
-1.6041743,0.22911055
-1.7190621,0.22943391
-1.4800996,0.34431267
-2.1275613,-1.9229865
-4.6259017,-3.2122567
-5.3269267,-4.4744344
-3.1133773,-3.5269496
-1.2759076,0.37926435
-1.1680872,0.2033682
-1.1575185,0.19837244
-1.2134786,0.43532777
0.11544046,-0.016175225
0.056963414,0.05505322
-0.04771641,0.052965
