latent_1,latent_2
-1.9291114,-1.3349032
-0.06177043,-0.92725456
-0.23295878,-0.73379564
0.05148185,0.12279704
-0.09859287,0.029770404
-0.0031583225,0.4606333
0.4416244,0.2895104
0.009348282,-0.35684165
-0.04672467,0.32412365
0.35865557,0.23717979
0.56490433,0.27946427
0.7008821,0.2657601
-0.54292476,-0.57238495
-0.4096676,-1.1465086
-1.5988115,-0.92805946
0.30885231,0.47386232
0.27922642,-0.2844021
0.38029397,-0.15150031
0.3606211,-0.11002931
0.37933457,-0.10149714
-0.2194501,0.5052099
-0.077084415,0.076016456
-0.32484663,0.42060068
0.15899052,-0.49297056
0.1214552,-0.09290716
-0.045799486,-0.4643745
-0.15269063,-0.09556541
-0.37069595,-0.17761454
-0.11248504,0.30924502
-0.026147835,0.2881122
-0.062808506,0.45487848
0.043519862,0.48154047
0.08986915,0.104840666
0.43513608,0.44480267
0.43702233,0.44716337
0.44185352,0.44364312
0.13545169,0.2295256
-0.33073413,-0.24861929
0.15351512,-0.118000835
0.038600452,0.17375877
0.090759166,0.11177829
0.12543704,-0.006717652
0.11043323,0.07517353
0.09574414,0.16706744
0.24491991,0.27420714
0.2705475,0.31154767
0.31613636,0.36363414
0.340845,0.24889222
0.38349998,0.27032712
0.3901528,0.277576
0.39941072,0.30444375
-0.26027572,0.43649176
0.23118903,0.2979217
0.1335075,-0.39354786
-0.12334596,0.44707552
-0.0652666,0.2375386
-0.15412997,-0.12946758
-0.08192181,0.21947685
-0.12698863,0.58948874
0.009119996,-0.88088894
-0.37128222,-0.698912
-0.16276489,-0.57411635
-2.39328,-0.16768762
-1.387384,-0.28025356
-2.221058,0.096218735
-1.1532929,-0.5128857
-0.44701993,-0.23863205
-0.6493702,-0.11805305
0.060457237,-0.54227257
-0.007931939,-0.46444437
0.020800717,-0.4681283
0.09906853,-0.45464155
0.23491539,-0.32479975
0.22434045,-0.043303102
-0.025306217,0.39922968
0.11162377,-0.40779838
0.07091535,-0.27992496
-0.14479564,0.17310002
0.079206236,-0.116965145
0.089982636,-0.17298219
-0.41656184,-0.37552568
-0.28794217,-1.2010863
0.06878079,-1.0899125
-0.24868701,-1.1675794
-0.091035955,-1.1704487
-1.3294328,-0.7100738
-0.49381983,-1.0587137
-1.3648981,-1.4085599
-1.6201718,-1.6382535
-1.0319389,-0.3672593
-0.980301,-1.2837168
-1.730363,-1.0525504
-0.054082267,-0.75165594
-0.099556915,-0.89029205
-0.41629398,-1.3151044
-0.08823358,-1.1088644
-0.60559094,-1.5731763
-0.76249176,-0.6004802
-0.99925625,-0.10891637
0.09009267,0.06640926
