latent_1,latent_2,latent_3
3.2755628,-4.2055755,-2.3738482
3.4895232,-0.9378988,0.6791144
0.74774444,-0.19950461,0.110663906
0.36573318,-0.096624345,0.03146186
0.67747295,-0.18057965,0.09609458
0.13805097,-0.035306763,-0.015743282
1.1169666,-0.2369017,0.21561524
1.9181638,-0.51471275,0.35332587
0.13805097,-0.035306763,-0.015743282
0.13805097,-0.035306763,-0.015743282
0.13805097,-0.035306763,-0.015743282
-0.30539125,-0.354437,-0.5044691
3.8745148,-1.0415819,0.7589344
4.053055,-1.0896648,0.7959509
1.6140926,-2.8565648,-1.9026254
1.284193,-3.528865,-3.6027265
1.3853168,-2.4502265,-2.205388
1.1063633,-2.5717697,-2.5644827
0.91577685,-2.6941538,-2.744921
0.90051115,-2.7126136,-2.803598
-0.41096586,-3.2318122,-3.7090442
1.7837977,-2.4642134,-1.957898
0.31832665,-3.4054794,-3.244745
1.8558211,-0.4979231,0.34040043
0.28381658,-1.4303453,-1.2121812
1.3172555,-2.4480805,-2.0154574
0.9789212,-2.376465,-2.2210398
1.0586061,-2.112595,-1.7475373
0.17152426,-0.044321522,-0.008803297
-0.058087543,-1.3714994,-1.313136
-0.04372433,-1.3455151,-1.2831486
-0.3066579,-2.1884239,-2.173782
0.2114186,-1.5488825,-1.3520801
-0.2834603,-1.4598509,-1.5225117
-0.23700875,-1.4230351,-1.4896743
-0.15045863,-1.3506202,-1.4107077
0.24019194,-1.6001903,-1.3855249
0.6188,-0.1647783,0.08392997
0.8432298,-0.22521996,0.13046078
1.588418,-2.8877559,-2.562984
2.0053868,-2.7949028,-2.4101849
2.6095812,-2.5163085,-1.827882
2.3102694,-2.7222788,-2.208267
1.9518735,-2.8240693,-2.531188
1.8000305,-3.074028,-2.9385128
1.5634162,-3.1604056,-3.164683
1.5370934,-3.2760444,-3.2987347
1.173806,-3.1213143,-3.27275
0.7353252,-3.2023141,-3.5481634
0.78715706,-3.304404,-3.5345764
0.541795,-3.318342,-3.6682105
0.7977292,-2.9131334,-2.8664684
1.6562021,-0.34293967,0.28821713
1.3430078,-0.35981622,0.23407932
0.22926342,-0.059871383,0.003167715
0.25716966,-0.067386866,0.008953484
1.6961913,-2.2481518,-1.6893961
0.89673024,-2.7934206,-2.6476336
-0.58237267,-3.449759,-4.0842347
2.122374,-0.569709,0.3956646
2.4245002,-0.65107524,0.4583041
0.40182,-0.10634297,0.03894371
5.2200065,-10.989209,-7.763369
1.9305837,-2.7741628,-1.6853365
6.5237503,-11.619262,-7.793691
0.97945875,-1.5132601,-0.9734701
1.0428314,-2.1831763,-1.551004
-0.9735424,-2.3150575,-2.913122
0.68453014,-1.637284,-1.2186927
0.98312664,-1.7977839,-1.2292421
1.0218017,-1.9542708,-1.3584317
0.4151384,-1.6879698,-1.3860449
0.20866391,-1.2001445,-1.1199
0.11157142,-1.4877603,-1.3418095
0.5596979,-2.0217814,-1.6228697
0.4069835,-1.9100666,-1.5906674
0.17754911,-1.6294725,-1.4402698
-0.19487005,-0.6069255,-0.70056427
0.58204263,-1.8387684,-1.4472092
0.6806904,-2.1309075,-1.667036
0.21799165,-0.6213891,-0.5099554
3.235781,-3.1617894,-1.5285754
4.4282703,-1.1907148,0.87374395
3.6077707,-3.3328958,-1.4344581
4.2845,-3.1075692,-1.073618
3.9183843,-3.6830776,-1.6112049
3.1258092,-3.5355074,-1.8351341
5.140015,-3.4140043,-0.81681156
5.637273,-6.3061805,-3.2092817
1.2612784,-3.7613525,-2.8803596
3.8334873,-2.218758,-0.32463276
1.4906237,-3.0335572,-2.1184452
2.8578765,-0.76778877,0.54815567
3.6890104,-3.2279482,-1.3346747
4.8683643,-1.7703861,0.54775894
3.7591074,-3.7063596,-1.7041023
5.6674767,-3.10304,-0.2975819
1.7839799,-0.5812095,0.23264626
0.6978356,-0.18606357,0.10031636
0.5048274,-0.58274853,-0.3456342
-0.24921519,-0.63102865,-0.72938365
1.0039036,-0.732341,-0.25590014
-0.4024757,-0.4243054,-0.6114677
-0.5212157,-3.8120944,-4.3710527
-0.88486,-2.9762971,-3.508488
1.7757058,-3.8192945,-2.686176
-0.43438214,-3.765331,-4.0151834
-0.6018082,-3.5412295,-3.892374
-2.443088,-4.5839195,-5.7946954
-2.3165803,-4.5706835,-5.621651
-2.3127427,-4.4271545,-5.400785
-1.6371851,-4.0402503,-4.8988543
-1.9528837,-4.2809825,-5.0965395
4.6428885,-4.034646,-1.6025444
1.186068,-3.245147,-3.3598213
1.487781,-4.730548,-4.0492783
4.6843667,-5.1487107,-2.5918007
-1.4559934,-4.242854,-5.142179
1.2066624,-3.575372,-3.5926855
0.91765,-3.6622834,-3.8824353
-1.1981621,-4.38022,-5.0188828
0.7243855,-2.3437335,-1.8398865
0.48070437,-1.5096779,-1.1951634
0.2137246,-1.9195831,-1.6864358
-1.9046798,-7.3220277,-8.84746
0.6064398,-3.222309,-3.713988
4.5963907,-3.5604694,-1.1944978
3.8033562,-1.0224179,0.7441811
4.4824824,-4.28525,-1.9016231
4.817102,-1.295432,0.95436007
2.2498217,-2.368639,-1.4878057
0.52253485,-2.903426,-2.9351997
2.1301172,-2.2286253,-1.4211025
0.96316016,-2.9179664,-2.734798
0.45309258,-3.1489549,-3.2849667
3.8181288,-3.157059,-1.1804978
3.6180758,-2.3149397,-0.7107185
3.074741,-1.7693838,-0.8458605
2.5558803,-2.3112273,-1.701978
1.6038749,-2.509406,-2.1450987
3.956825,-1.7714581,-0.35128736
0.13805097,-0.035306763,-0.015743282
5.6014533,-1.5066674,1.116979
1.3513856,-3.432949,-2.542595
4.0786004,-1.1053152,0.7933119
8.443669,-2.2721105,1.7062529
-0.70784765,-7.006452,-6.618993
-0.061001122,-5.6467376,-5.657008
-2.1116664,-3.6951556,-4.7299957
-1.9196804,-3.0050125,-4.006651
-1.7740345,-2.7296803,-3.6683722
5.08956,-4.6341076,-1.9434683
4.419647,-3.5953438,-1.3896728
4.7003875,-3.2850428,-1.0623945
4.145018,-1.1144316,0.8150176
4.268192,-1.1476039,0.8405551
-0.18813166,-1.8423272,-2.4022458
2.0601234,-0.5529442,0.38275826
1.2902153,-0.34559858,0.22313389
2.371015,-2.3278232,-1.80299
2.9726353,-2.3293617,-1.7208571
2.6885204,-2.4504557,-2.0144556
2.9072173,-2.4735684,-1.8904083
0.29426974,-1.7633034,-1.5087147
0.80837876,-2.172065,-1.6466872
0.4651697,-1.2639718,-0.9798641
0.63441795,-1.4487506,-1.0707151
0.57492065,-1.412208,-1.0644855
0.5862952,-1.4061183,-1.0538461
0.6415429,-2.2061253,-1.7527456
0.5320631,-2.1067219,-1.7121835
0.798107,-2.2466455,-1.7187973
0.73311526,-2.2365777,-1.7389992
1.6047456,-2.1160214,-1.2476361
0.44733965,-0.88957506,-0.6491655
0.34982964,-0.8429977,-0.65100044
0.8104289,-0.2163863,0.12366022
1.1846454,-0.31716734,0.20124619
1.2080193,-0.32346222,0.20609227
1.1952975,-0.32003605,0.20345466
1.0424792,-0.27888024,0.17177099
1.0564902,-0.28265357,0.17467587
1.0610542,-0.28388274,0.17562215
1.2680545,-0.33963037,0.21853928
0.42083132,-0.111462936,0.04288531
1.308106,-0.35041678,0.22684316
0.67145866,-0.17895994,0.09484765
0.90784,-0.24262029,0.14385638
2.6246727,-1.9914938,-1.1293908
3.9677622,-2.5800068,-0.7229583
3.9984105,-2.2934585,-0.48525092
3.4372482,-0.92382056,0.66827625
1.1959586,-0.3202141,0.20359172
4.4919057,-1.2078527,0.8869375
2.5384989,-0.6817765,0.4819394
1.2198269,-0.32664216,0.20854035
1.1029322,-0.29516095,0.18430465
0.80859375,-0.21589208,0.123279735
0.40937632,-0.10837798,0.040510356
0.57600063,-0.15325192,0.07505642
0.13805097,-0.035306763,-0.015743282
2.7644806,-0.7426361,0.52879196
1.7775421,-0.47684157,0.3241709
2.9546847,-0.9502999,0.42668638
0.6988575,-0.18633877,0.100528225
0.19451806,-0.050514035,-0.004036011
0.48178962,-3.1690798,-3.44811
1.7707858,-2.938615,-2.8588252
-1.1032948,-3.5875094,-4.5635786
1.1362187,-2.6700768,-2.5492315
0.71341527,-2.9285655,-3.0144553
1.6509514,-2.8116918,-2.7114227
1.6879895,-2.2002065,-1.636347
0.13805097,-0.035306763,-0.015743282
0.6833869,-0.18217236,0.09732072
0.41249654,-0.109218284,0.041157264
0.34516594,-0.09108534,0.027197678
-0.27793252,-1.3900377,-1.429057
-0.087517425,-1.3008717,-1.2847583
0.0059819818,-1.2856597,-1.2827307
0.27343976,-0.9962234,-0.9015678
-0.054572284,-1.1096048,-1.1493793
