latent_1,latent_2,latent_3
3.2306967,-3.2696264,5.344546
2.1725674,-2.5511568,-0.14557126
2.6210918,-2.1252005,0.3734767
3.0346496,-1.1946006,0.28128788
3.2029977,-1.3684614,0.22037527
3.609002,-0.8113472,0.4459215
3.5397992,-0.65671176,0.21163365
3.5310626,-1.7009928,-0.008686334
3.3692994,-0.91336733,0.93031037
3.7713435,-0.20418012,0.76373184
3.7648008,0.45399386,0.418923
3.0856485,0.64030606,0.1530895
3.5366406,-2.4946752,0.15068802
2.393627,-2.85236,0.56741846
4.338909,-2.5595038,4.9352627
4.505782,-0.4728765,1.1980262
3.308024,-1.1096387,1.079889
3.363096,-0.9900761,1.304516
3.3777754,-0.91035753,1.2995816
3.2079377,-0.46218914,1.2547442
4.4236336,-0.7028431,1.1200029
4.155535,-1.1318297,1.2409805
4.8717093,-1.1751606,0.80359244
2.7048998,-1.9310875,-0.20724848
2.4204886,-1.5759594,-1.4384085
3.3488073,-1.6945362,0.9426166
3.849042,-1.3866868,1.145744
4.12603,-1.6155913,1.2362914
3.5467317,-1.1111925,0.37168023
2.40746,-1.2415664,-1.4025357
2.5200763,-1.021251,-1.3967576
4.03566,-0.8596085,-1.7532706
2.7819138,-1.3766856,-1.5964473
2.8833287,-0.9065694,-1.450841
2.8997154,-0.89684993,-1.4369069
2.9257545,-0.88711315,-1.4310802
2.9999745,-1.1674259,-1.7783631
3.172423,-1.4971666,1.3963891
3.5845737,-1.3261399,0.060220093
4.1669536,-0.9467791,0.8355757
4.1899796,-0.89653105,0.8924699
4.213416,-1.1509185,0.69403565
4.188779,-0.9643157,0.7465817
4.2333565,-0.80528814,0.8479248
4.245753,-0.56375676,0.8659203
4.2942524,-0.48556715,1.0202522
4.2759075,-0.48629814,0.9734038
4.0068817,-0.5179542,0.95049834
3.9482927,-0.1886946,1.0472552
3.867281,0.12675524,0.9296131
3.9011703,0.20416498,0.9726882
4.655703,-0.9547338,1.0181156
4.0286245,-0.8376332,0.0459691
3.2369213,-1.647583,-0.021185547
3.8756475,-0.93998927,0.2876608
3.6344452,-1.1986983,0.2721636
3.7072902,-1.4681516,0.93870604
3.9733305,-1.0911808,0.90045214
4.477807,-0.48222357,1.1953267
1.8496023,-2.2980676,0.18216679
3.2223415,-2.3230722,0.54244125
2.405388,-1.7805855,0.9905478
22.141315,-3.3359482,8.163683
9.083864,-2.136276,4.536641
