latent_1,latent_2,latent_3
-0.84618145,1.7268775,1.3329928
-0.31292564,0.4094141,0.8262605
-0.7996219,0.47327513,0.4558006
-0.78973657,0.20192689,-0.4359061
-0.7719596,0.33685845,-0.32115084
-0.82907516,0.21341342,-0.75723404
-0.55394095,-0.11307585,-0.6447888
-0.45649582,0.29332,0.04716903
-1.0388998,0.07127935,-0.7985186
-0.81285197,-0.37046558,-1.1463969
-0.7169313,-0.5143972,-1.1908658
-1.0090348,-0.62326854,-1.1301904
-0.52982265,0.66637725,0.5316461
-0.48947054,0.6495245,1.0173388
-0.8333309,1.4289386,0.7526997
-0.56124645,-0.22585326,-0.94679576
-1.0838553,-0.19561821,-0.3120162
-1.1241299,-0.31951445,-0.5363118
-1.0943784,-0.36375517,-0.62159985
-1.1634911,-0.43585223,-0.65995926
-1.0703893,0.1531232,-0.8543387
-0.84530216,0.13482141,-0.32356042
-0.6042742,0.4173656,-0.630374
-0.5259617,0.1948939,0.29320568
-0.70651084,-1.3071067,0.67251116
-1.1642317,0.3345706,0.023404658
-1.122129,0.37691683,-0.26444107
-0.9343832,0.59976536,-0.1072554
-0.75220424,0.26340967,-0.5569015
-0.68898445,-1.4289219,0.39506263
-0.56377035,-1.5428576,0.1321333
0.1254658,-1.1322496,0.080165565
-0.41058022,-1.2341332,0.45565718
-0.45638233,-1.5415771,0.07776064
-0.46022135,-1.5483263,0.07605976
-0.48318106,-1.5610936,0.079879105
-0.46706158,-1.3925893,0.23210627
-1.2330977,0.3740692,0.013195336
-0.6542954,0.08648509,-0.2561726
-0.76123446,0.013181031,-0.53979784
-0.738061,-0.051138997,-0.5365458
-0.7451467,0.048965335,-0.35870928
-0.7651188,-0.040231287,-0.4914326
-0.80076736,-0.050515115,-0.61331683
-0.810129,-0.17244893,-0.7539038
-0.82096213,-0.22260362,-0.8215243
-0.82508963,-0.2522424,-0.8430689
-1.0324692,-0.33598453,-0.86251086
-1.0797774,-0.421143,-0.95506126
-0.93114513,-0.4280253,-0.96324307
-0.97160894,-0.43321615,-1.004081
-1.0684558,0.27280664,-0.65596014
-0.67259985,-0.11981118,-0.651504
-0.8399585,0.10258263,0.045491517
-0.92543584,0.14803207,-0.7103129
-0.9922628,0.231211,-0.49866897
-1.0383142,0.39911598,-0.18705207
-1.0537177,0.21540105,-0.5137289
-1.0981848,0.049654543,-0.95840067
-0.9907771,0.2515089,0.7540098
-0.5417629,0.5706083,0.47836345
-1.3305453,0.39436907,0.21755224
0.916279,2.141321,-0.33837312
-0.21765514,1.2695978,-0.15057129
1.229904,0.6625685,0.7654522
-0.8337131,-0.6531401,1.5214272
-0.14761527,-0.72509676,0.94467944
-1.68078,0.5320787,-0.12302965
