latent_1,latent_2,latent_3
-0.76613504,1.6847352,-0.5765397
-0.0026417635,1.4404632,1.1115869
-1.4121554,0.3360874,1.5819671
-0.60216254,0.014395302,2.227619
-0.62078243,0.028032368,2.1136272
-0.54230624,-0.28397816,1.8115784
-0.53041476,-0.48910338,1.8111566
-0.686238,0.20599991,1.7399839
-1.3276029,-0.41099244,2.2537344
-1.5379543,-0.58078116,2.1814497
-1.3177661,-0.5787966,2.1382658
-1.2838033,-0.796739,2.1549172
-0.7777099,0.777234,0.46495628
-0.51642543,1.3419338,0.994435
-0.8781195,1.2467836,0.99680454
0.12947401,-0.43398917,1.0385953
-0.5292923,-0.2562046,1.2908496
-0.6657158,-0.34787446,1.5811832
-0.6445052,-0.3986568,1.5967947
-0.6427831,-0.46918246,1.5844114
-0.76746255,-0.63478285,2.1582186
-0.5867005,-0.0064165536,1.2619973
-0.14186323,-0.23531476,1.5187278
-0.29131994,0.6440689,1.5810385
-0.70551926,0.825769,0.59627044
-0.5079134,0.066800304,1.4089913
-1.0639728,-0.35966575,2.1266477
-1.2701988,-0.16277277,2.0016112
-0.89231163,-0.17642134,2.1468167
-0.6254665,0.010157382,1.1256291
-0.4526317,-0.020584786,0.7886592
1.3443639,1.9194411,-0.5632592
-0.23785737,1.0929087,0.51858556
0.78749245,0.6476014,0.016527
0.7501896,0.6144369,0.019113366
0.7232638,0.5720703,0.018779699
0.16456082,0.9952782,0.36327243
-2.0523908,0.027895337,2.0817547
-1.1368642,-0.28647572,2.1983202
-0.22371522,-0.35111433,1.4043239
-0.24687055,-0.40339738,1.433127
-0.15377352,-0.21143764,1.1817113
-0.16403058,-0.34804922,1.345924
-0.29322287,-0.44495165,1.5555574
-0.10907856,-0.49618548,1.4360119
-0.14956042,-0.5269123,1.4945682
-0.023358013,-0.53979933,1.3837627
-0.27049294,-0.6579136,1.5303619
-0.37117288,-0.68413067,1.6189498
-0.13420495,-0.5550881,1.3367835
-0.23985001,-0.58500725,1.4419403
-0.97194034,-0.09720939,2.245872
-0.5876476,-0.51918536,1.639409
-1.0213928,-0.08781319,1.7848066
-0.7070038,-0.3980704,1.8153461
-0.62862605,-0.17351794,1.8912425
-0.6095907,-0.22285908,1.6611865
